REVIEW_TOTALS,REVIEW_SENTIMENT,AGGREGATION_DATE,WOW,DATE_SENTIMENT_ID
1035,positive,2021-08-07,-4.87,4edf525ce320bf0acdea76e06646501c
1035,positive,2021-08-08,-5.82,d1eb39f7594a4734d306431381aa2693
1018,positive,2021-08-09,-6.86,60a61998e82dbb7b917a00199cfdf1b9
1000,positive,2021-08-10,-9.01,cebbeb3dfa434c27bc66c7c5182cc65f
1011,positive,2021-08-11,-6.82,747f4984f1a0b8d5437168638ddfbc4f
1023,positive,2021-08-12,-4.3,bc532eecfde6f441e148f0e2b18a6efd
1057,positive,2021-08-13,2.13,ccd95bcacad25af7a6ee4e9d1ce2cbd0
1072,positive,2021-08-14,3.57,76ff345affa741f05396312de297cfaa
1068,positive,2021-08-15,4.91,12c55336d47b874fa6c3605aa9d6b713
1100,positive,2021-08-16,10.0,f4b6844fc27a9e5e38fba45b17cd6156
1133,positive,2021-08-17,12.07,1e624fc2c6cfcf4ba934fc11e05eb76f
1130,positive,2021-08-18,10.46,915ffa4dcc4b5c9b02a4da58bd850997
1149,positive,2021-08-19,8.7,1196518cfc4b50281b259fe1bc948b00
1138,positive,2021-08-20,6.16,8fe6d3966906c1e9562ee2d84f7ecf0a
1143,positive,2021-08-21,7.02,9986b0a92a630c35467c3f58b3576276
1184,positive,2021-08-22,7.64,43041276c095167127695efad298cd92
1196,positive,2021-08-23,5.56,fe2fa9e551b0609411fb962df0892524
1205,positive,2021-08-24,6.64,6d28d52c30a10c907c5e4896a9952962
1211,positive,2021-08-25,5.4,dc1104c652face8c9b5c400b1a7c41ba
1189,positive,2021-08-26,4.48,0f96e029bae63c4d4836b75f91439120
1173,positive,2021-08-27,2.62,172e14b289434f3995e066c0a4d198d9
1179,positive,2021-08-28,-0.42,9c47af9aa9a707a2843f1ddc70063d68
1188,positive,2021-08-29,-0.67,b7774267c7f0dec11371c780c56bb173
1179,positive,2021-08-30,-2.16,c5ea4add8e3c3b857431189a7d5d2696
1187,positive,2021-08-31,-1.98,ad293c306d9fc2d65beae7f73be10062
1208,positive,2021-09-01,1.6,584dec643efc1e3336caeb5f1c20a8ba
1200,positive,2021-09-02,2.3,c0adb00417b383b35e9e865549462082
1198,positive,2021-09-03,1.61,cb7b102371e4a7c49272a199613275e6
1175,positive,2021-09-04,-1.09,4f8d991aafedae166d46df2d046102f9
1135,positive,2021-09-05,-3.73,e6b47274aea1046307ef1828a1c95bfd
1147,positive,2021-09-06,-3.37,31034b19bcc72e46edfc7559cea43a3a
1108,positive,2021-09-07,-8.28,cee98df9ad9f6eb100f931fc5e9cc2be
1084,positive,2021-09-08,-9.67,92dcb37ff6508ecd3a1fb928f37b6c2e
1079,positive,2021-09-09,-9.93,ebec0ce83c5ef08f71bb1d53a45b61d1
1081,positive,2021-09-10,-8.0,b34d1a324c006a2584e6518569f6b27e
1049,positive,2021-09-11,-7.58,eb52cf94f8fd79aab59e8c3ccee84ef4
1082,positive,2021-09-12,-5.67,eb5c2e2a9c01e20c7f79a942c9f0ca6d
1074,positive,2021-09-13,-3.07,5e5e559a44b844859f17b29d7c4f8484
1086,positive,2021-09-14,0.18,9a1da92864cb453443abceebf895a774
1082,positive,2021-09-15,0.28,e1b14b0d480276260ac84a1a086be010
1099,positive,2021-09-16,1.67,94f90318f37a38b45bb0a1eb62cf70b0
1132,positive,2021-09-17,7.91,d4454d488e0f21c79cd15812d7aedd77
1181,positive,2021-09-18,9.15,260242dc86c88f2386b8d067fdbbee3b
1181,positive,2021-09-19,9.96,a2d20d4eec156d00acd897100e9de08b
1206,positive,2021-09-20,11.05,34978ab8f43fcf0319e50601ef1b5fa0
1207,positive,2021-09-21,11.55,2e2ac5bc25b6f37ac8e3bb5878dd6bbb
1208,positive,2021-09-22,9.92,5f9c65ac14e5776136508f015c918d24
1226,positive,2021-09-23,8.3,53355f3fa966df7b40f67d8c9b30fb5e
1195,positive,2021-09-24,1.19,008bdcecfcbc141c1d6703aed9ea967f
1183,positive,2021-09-25,0.17,47c8190d238a10acb997c1e14f9097ee
1200,positive,2021-09-26,-0.5,1351b04c50640343dac293953e1c9d67
1323,positive,2021-09-27,9.61,f020417e2bc48bf86a9f7b3a57aa75e1
1392,positive,2021-09-28,15.23,06d4506189594f84329abc34102cea66
1409,positive,2021-09-29,14.93,07e547b2292f2dab164aaa25b2c1a7cf
1460,positive,2021-09-30,22.18,d1003b880501b51c69b877b8419b9a8b
1506,positive,2021-10-01,27.3,a9adbfc4046cf1c62f92961aa139f2d9
1504,positive,2021-10-02,25.33,bfbc5530328ec65cd69bf4c93904fe7b
1488,positive,2021-10-03,12.47,44187abb998d95cb68fd08aa78b892f2
1368,positive,2021-10-04,-1.72,4a4c90d2a166a696fe5791c64c789952
1308,positive,2021-10-05,-7.17,ae2710d56ca997a3b47f0ef455f40f3f
1281,positive,2021-10-06,-12.26,8e0b86cd3ae08c1f3751452dbc328f0d
1221,positive,2021-10-07,-18.92,7f4f45f22c1fe74618f6ac37df1b2c29
1164,positive,2021-10-08,-22.61,5a38faa7227d16b3706f5a57e335ca2c
1116,positive,2021-10-09,-25.0,c859fde11c5e94f8843a4e86cd172d17
1045,positive,2021-10-10,-23.61,6641e06b75a6c20ba7f31ae06a2e94d9
979,positive,2021-10-11,-25.15,0ff81f1c86cc56fd8adab32ace227bc0
935,positive,2021-10-12,-27.01,ebcd82990d12d25e64860232c326d2da
894,positive,2021-10-13,-26.78,22968fdfbfef4d66bdfd36fe712e599d
850,positive,2021-10-14,-26.98,90a2cecf47bb6c88284ce7bb8ffad8c1
806,positive,2021-10-15,-27.78,26e26168b3523cdaefbd167edf5ac5c7
811,positive,2021-10-16,-22.39,16bc3204ca3a2ee6028a3f6b4067b5fd
785,positive,2021-10-17,-19.82,63955df16d90f55a48a3cb65e7b8ce4e
736,positive,2021-10-18,-21.28,a3f0c24d1be360bade7b06bfcb996ad3
720,positive,2021-10-19,-19.46,b956defb5a34994afb8f77e46c925aaf
716,positive,2021-10-20,-15.76,ddbc3d8449322be9bc0d12004b0ff279
663,positive,2021-10-21,-17.74,b900d07e08b0386c3ac6b3b23475867b
601,positive,2021-10-22,-25.89,925fa5e03645281f42dc15131f99f274
1,negative,2011-02-06,,1e6d0bb5cf1a6532ba3b1baa30b062e7
1,negative,2011-02-09,,615a9c18f6a23d1dd7df1558ccedb437
1,negative,2011-06-06,,2199c7309ccff044b0b11731fe6f0d95
1,negative,2011-06-07,,0ac1f987b898c18a7133168d856fc26f
1,negative,2011-06-09,,3c5e118f06d767ebbc9682614570f276
1,negative,2011-06-11,,a37e11c28a22cad854d65a33ae3377ff
1,negative,2011-06-12,0.0,f08a0dee413a610215dbf72e89ee0dee
1,negative,2011-09-03,0.0,3729eef6d340a903dda11e5ac164f35e
1,negative,2011-09-04,0.0,4890027b0143798533ea1db8d9412f5d
1,negative,2011-09-05,0.0,8a74694e11bd5527099b29c6be34eea6
1,negative,2011-09-06,0.0,5264a60c79a65a8643e41460fc698db5
1,negative,2011-09-09,0.0,1ee043b878c88fdb598ecd6b33c712b1
1,negative,2011-12-06,0.0,da0b620270fcfcbf60bdc4f1b8305049
1,negative,2011-12-07,0.0,20397e0ee539c9ab4650148e22ad300a
1,negative,2011-12-08,0.0,1fbbac58bf19ff42110b320497dde8f5
1,negative,2011-12-11,0.0,a7e9cb90401eec7061d3505791a96dd4
1,negative,2011-12-12,0.0,f516eef5edf0b273daae1927de64f677
1,negative,2011-12-28,0.0,546c5e0e5ef26dc4c9c535a1ae71daca
1,negative,2011-12-30,0.0,e3afc1528ba0a6ee3d699f01f995f090
1,negative,2011-12-31,0.0,65cf477f90e1cf16f762eb1a90ed8625
1,negative,2012-01-02,0.0,30599c5a2a0c93ec803f5b1332699568
1,negative,2012-01-03,0.0,f6c3c68a76b6dade8064fbba3d74aca8
1,negative,2012-02-01,0.0,6b4b23a9f95c4c26edb9bf753cb1ab2b
1,negative,2012-02-03,0.0,22cdffaedd4bc7d2cb3c9f2d871c8b6a
1,negative,2012-02-04,0.0,ca69780b6b76dd6ef6e23a710d65df23
2,negative,2012-02-06,100.0,b96a90b6d7966fa9696bf82bc9c4f668
1,negative,2012-02-09,0.0,4206921241f134eb066327bbf34ab995
1,negative,2012-02-10,0.0,0d43a7f9e415220dd9bf169d833c76e7
1,negative,2012-02-11,0.0,db75f71eb4561d6578685d89d0fe3feb
1,negative,2012-02-12,0.0,8be7be734336d37a47d5a1cc663f9f39
1,negative,2012-04-02,0.0,8555730d45025b6d2a9c2a4c0fa3feb3
1,negative,2012-04-03,-50.0,c3704667b826f6b4cdc44028eb807bb5
1,negative,2012-04-04,0.0,72969689979943214a6373afa45b9cdb
1,negative,2012-04-07,0.0,7e88b9533035e17ed3780b082139fa42
1,negative,2012-04-08,0.0,7ba1559213f09b26631439c21aeb4b5b
1,negative,2012-04-09,0.0,ce671be43b82af0dab32452da7e9a25d
1,negative,2012-04-11,0.0,4c57a02e3f99d138951efa1856db8b52
1,negative,2012-04-12,0.0,eea4f314739e0363849d099abefaa6e7
1,negative,2012-04-13,0.0,a588145bd0028c2a4d0b2c8e2863f3ef
1,negative,2012-04-14,0.0,be460581b4512b022b98fb83bf1a8ddc
1,negative,2012-04-15,0.0,8612f5be5f84b75977f27221ba480784
1,negative,2012-04-16,0.0,572ab7c7d7774a6cd6d0c9c5034d2dd3
1,negative,2012-04-17,0.0,c1d22f0ec5d095bc3caeb4341503e5c5
1,negative,2012-04-18,0.0,fbbf0927e0faa76abd2ee0ccb546621e
1,negative,2012-04-19,0.0,38cadb3a1a8b30210e2fbd7a6b35a1bd
1,negative,2012-04-21,0.0,a96b5cf65ab4e678cb659e30d96b4fce
1,negative,2012-04-22,0.0,6b161a21d3fb3415f4b2fef52f9d3780
1,negative,2012-05-02,0.0,3327213089594e2c651ca0960edbe7d1
1,negative,2012-05-03,0.0,d90717d246549ce092fc86e3c7010bab
1,negative,2012-05-04,0.0,f7d35ff17651d546079ba27928c8a22e
1,negative,2012-05-05,0.0,2d0c64a180eb9ebed7313f520203b879
1,negative,2012-05-06,0.0,86bf9ea2e553a85ad135d10c50563b58
1,negative,2012-05-07,0.0,d44ca277f198545628b2ed0e48428c75
2,negative,2012-05-08,100.0,66c5b0ea1fb42bf9c892e30dcad5cf51
1,negative,2012-05-09,0.0,4e79a3de9447b306cf087ba4896f177f
1,negative,2012-05-10,0.0,74c75db84ed8baef30e198929092ed26
1,negative,2012-05-11,0.0,1ff6eafe43da84b281c75d2bfe40be2a
2,negative,2012-05-12,100.0,6ce930334b5674e2644ec975299f0521
2,negative,2012-05-13,100.0,d64f4b6a2058e592adf6ec2e92459d78
3,negative,2012-05-14,50.0,1c053c4f9e0030f1906250aa96278615
2,negative,2012-05-15,100.0,28bbac4879eb50956f6a5e99a1b16e42
2,negative,2012-05-16,100.0,2eeec5d58e11f6fbf342284a0fc7c1f5
2,negative,2012-05-17,100.0,2f4278e2b3dbc7b9e0b25f90791471c3
2,negative,2012-05-18,0.0,d1e99a5017bd1c9978d802e4012c36a7
1,negative,2012-05-19,-50.0,9aca6fa94a8b0e8c27cbdcaad06c5b4e
1,negative,2012-05-21,-66.67,0c068035cdd53d5737d5006de3f19436
1,negative,2012-05-22,-50.0,eda40e10bd4fb97393e045d5ce27a1d6
1,negative,2012-05-23,-50.0,8b7f1f0a17a5555f9a9643d25cd90f27
1,negative,2012-05-24,-50.0,8129a6db7708c84955188bc33cefd313
1,negative,2012-05-25,-50.0,9a1dcc2a7be725817a6be61af643ce4d
1,negative,2012-05-26,0.0,2634ad29c870fac3bb8c657a9d0b2fa5
1,negative,2012-05-27,0.0,44b85d7a349f119dc82fd77de233e67f
2,negative,2012-06-03,100.0,6801459c711d6e9b15c82d77d4893717
2,negative,2012-06-04,100.0,c491a4cabd275bc66cc356cd7d74cf91
2,negative,2012-06-05,100.0,c9aa5c0108df25ba467ce0bf9d9b2b82
2,negative,2012-06-06,100.0,d005425354066fe50067c6a0558732a6
2,negative,2012-06-07,100.0,d01bfca378219ecfee0af3a541564620
2,negative,2012-06-08,100.0,2cdaa0289084d4dff2ae825f80fdb461
2,negative,2012-06-09,0.0,7bfb516724a48819b274837580129caa
1,negative,2012-06-16,-50.0,73258811e399c5573f53b8380e617df1
1,negative,2012-06-17,-50.0,fcbace3c46b752d24031d18d05a63e95
2,negative,2012-06-18,0.0,b3724642115882e9b0464b38c8f21957
2,negative,2012-06-19,0.0,faef8508b767a5a9f74badd2c9cee1be
3,negative,2012-06-20,50.0,dcd1d59d5ab178ebbe0bfbeac57c6443
3,negative,2012-06-21,50.0,f14be28185ae5df290d81472e330f381
3,negative,2012-06-22,200.0,b49a59760c4d3022735d92d736444656
2,negative,2012-06-23,100.0,cae45ec7f1ffc54d1bd4df9f52456602
2,negative,2012-06-24,0.0,540121375331c82213ccffae20fc6420
1,negative,2012-06-25,-50.0,fe86d7999c719f0be2f474c194724156
1,negative,2012-06-26,-66.67,739ca516f36e49041d59840996edbcf2
1,negative,2012-07-17,-66.67,42ef0d4b29d1bab42470457f2071ed31
1,negative,2012-07-18,-66.67,46001814ad5ea7d5d307714194c8ff5d
1,negative,2012-07-19,-50.0,0cb89a5d256ba55ac80fb8d6eb0ee8a1
1,negative,2012-07-20,-50.0,ac02d60654758d35ffe12e556230354a
1,negative,2012-07-21,0.0,4b01bdc7406bebb409f3a76e5834429f
1,negative,2012-07-22,0.0,b5805452770566baa002e7891d03d578
3,negative,2012-07-23,200.0,be7ff8c2370d00d3f6fe2ab2d97d1dbd
2,negative,2012-07-24,100.0,ca775e91e0083c0a5ca15f116bad3d43
2,negative,2012-07-25,100.0,8ac1e311a8c24dd4e3db9faaa9f7c571
2,negative,2012-07-26,100.0,39172fd42b5d0c7c7ea0c15d81bd82f2
2,negative,2012-07-27,100.0,aff137edcc8ceeb9072e6a7c941d80a4
2,negative,2012-07-28,100.0,3f4562ce70871980500ab3de6429ff76
2,negative,2012-07-29,-33.33,56eb156486fa0c18d4dacb9a34cbb7a7
1,negative,2012-08-02,-50.0,ec408026b9c3c92fe599e1338f2f9217
1,negative,2012-08-03,-50.0,69fded4d7e8d442efdde2f02c4009ecf
1,negative,2012-08-04,-50.0,c6dd5aa727fc683dc85da9754fb82a71
1,negative,2012-08-05,-50.0,9fc929c51060b7b80ee40e21bea5bee0
2,negative,2012-08-06,0.0,7876d527302376e5cee33453dcfad0f9
3,negative,2012-08-07,50.0,87ccb18ef1c63bba40f5104c1b4b6805
3,negative,2012-08-08,200.0,8f6407a7a62874858284283d6e21b8c2
2,negative,2012-08-09,100.0,c57300f8bdc066a1e71d5bc4e531bc65
2,negative,2012-08-10,100.0,a4da8b7e8b3397cdd55144f52fab9058
2,negative,2012-08-11,100.0,d024a26949a3f884349277735ad5493a
2,negative,2012-08-12,0.0,d4934c452d1338c023fcb1939243340f
1,negative,2012-08-13,-66.67,27573255feeb188249f81d84c9440498
1,negative,2012-08-16,-66.67,b5b5526784dc6a251b08430d1e83338f
1,negative,2012-08-17,-50.0,6daa4a97736b9f182b164b1225645ad0
1,negative,2012-08-18,-50.0,962c209055ccef33c0c82f4a364ac7b7
1,negative,2012-08-19,-50.0,4cf8ca5391bdb55714eb150f74b969e4
2,negative,2012-08-20,0.0,c4021c851387aae66c3bc70361a23e0f
2,negative,2012-08-21,100.0,53cdd5ede3f63fce8f4da3149c9a3d1a
2,negative,2012-08-22,100.0,5e40a0396c5ea767062cf6ae1886c6f2
1,negative,2012-08-23,0.0,a2ff9bc39710280806510e8091dfe664
1,negative,2012-08-24,0.0,57b15a68e963702e08917e8a83a6af60
1,negative,2012-08-25,0.0,4c10fd4d555b48838857d3874f546544
2,negative,2012-08-26,0.0,80641542748dfee4833341a2cdb978c8
1,negative,2012-08-27,-50.0,553530bf4d83a06a4faef92f1c08debb
1,negative,2012-08-28,-50.0,5e0aa99beb1c464d05c0023f389467ea
1,negative,2012-08-29,0.0,a961b49caa6e6b7f853932c51579dfa6
1,negative,2012-08-30,0.0,66825600e152f2b66d18b94183986e5c
1,negative,2012-08-31,0.0,c8e5f696ab5c698c125f2220e65f4445
1,negative,2012-09-01,-50.0,63a89b7e0b9ab17c1fb38f5755dbc411
2,negative,2012-09-09,100.0,63d611d5bc1ecf6526bcb278dd9cbb0a
3,negative,2012-09-10,200.0,26e44257cc9b29de41b66bb19f32be2b
4,negative,2012-09-11,300.0,0fc6828675035b3240c5a9e8140e8fe8
4,negative,2012-09-12,300.0,59107d79ae5db49da8b015b8da7ca362
4,negative,2012-09-13,300.0,4e1b3a148cef31eb63d291f3820948cc
4,negative,2012-09-14,300.0,ff7e1a49715f41b94777ddd0b7a51357
2,negative,2012-09-17,0.0,77908ec9969326919fec440bb8000005
1,negative,2012-09-18,-66.67,18db793d83c1d8545985e2fda418f787
1,negative,2012-09-19,-75.0,cb32a60459ca04f7a30973123e9c530f
1,negative,2012-09-20,-75.0,685ea5e2fafb0fb41969445c75baf7e5
1,negative,2012-09-21,-75.0,1242a1f5a7bd4df4ac43dfac1ed5971f
1,negative,2012-09-22,-75.0,c1e313690b05fa91ec3da7b203c49f5b
1,negative,2012-09-23,-50.0,5eac0fe3164b6678ccc9d63d4d04c51d
1,negative,2012-10-06,0.0,8c4e64e4c074f1243148787f8f489c9c
1,negative,2012-10-07,0.0,efad9402fa574ff6b9ff5f43fb290dca
2,negative,2012-10-08,100.0,e6d980f17cc7ce4537b84edeadf0ffca
2,negative,2012-10-09,100.0,6d1e1ac5c4f2be002207daae4ae2a54e
2,negative,2012-10-10,100.0,c8835eb39891369e30cc10257e0ee596
2,negative,2012-10-11,100.0,8a7c8920045c05a44a48f0db3ef3313b
2,negative,2012-10-12,100.0,a31722173f624f14e584b18916f25b3a
1,negative,2012-10-13,0.0,4fa80fc12f2bdc9b4b9fbd5c0125b4ed
1,negative,2012-10-14,-50.0,62bf0abbcdc7f20764c942fd66abe783
1,negative,2012-10-19,-50.0,6c74d7cdbb58b7620e8866660aeedadd
1,negative,2012-10-20,-50.0,a7f88b63073fa8b44fa01f195191c461
2,negative,2012-10-22,0.0,20b065998b482eb9c1ce522f05919666
2,negative,2012-10-23,0.0,3da25135b111ff21e04b0671beeee076
2,negative,2012-10-24,100.0,5f83608d254d2b72d471b06a52c23c78
2,negative,2012-10-25,100.0,06a6d0fc3489b147484192144574697c
2,negative,2012-10-26,100.0,143897937b93f55bf7276fcb7fc0287b
2,negative,2012-10-27,100.0,294566ce1988dd4d5e05a2e918defb3f
2,negative,2012-10-28,0.0,e87bcfaf89d1a1c497d2bc3aba5be756
1,negative,2012-10-29,-50.0,49222cb6ee918c0361b49d3fd6e8812b
1,negative,2012-10-30,-50.0,b193860ce10b88ce2a4e336936d9a27d
1,negative,2012-10-31,-50.0,955d64e1899917d524826048ee7456d0
2,negative,2012-11-01,0.0,25a5361dff98d3baaac30e9b9f3ccbca
1,negative,2012-11-02,-50.0,303fe39e889f111be8de7eea01bc3942
1,negative,2012-11-03,-50.0,12cf337ffa37a693f887994f4d5f4adb
1,negative,2012-11-04,0.0,3830671aad36c0146b8276a49309e474
1,negative,2012-11-05,0.0,554a2a75730b7962955599c3fdfd983d
1,negative,2012-11-07,0.0,ffd3140215a22c264e1020863fb9f2ac
1,negative,2012-11-10,-50.0,783df1215032142db2ba9718c2c5adf9
1,negative,2012-11-11,0.0,b748f7c9e7d9722ff827886e091df5f7
1,negative,2012-11-12,0.0,5ebcb6110ea1e4b715fd9f8821eb148d
1,negative,2012-11-13,0.0,a2e3dc3b25a26a56d042fab85d5a3d12
1,negative,2012-11-14,0.0,6d80cb1c4034e322b8860d654ece847c
1,negative,2012-11-15,0.0,bd1a99c0b899a36eb337dffde6fccc29
1,negative,2012-11-16,0.0,62bfef179eb9cedda54d939da76073d2
1,negative,2012-11-19,0.0,c17fe161db8c27f7e70a3522f0360fc7
1,negative,2012-11-20,0.0,c84ff047697b497712ea5da036e6166a
1,negative,2012-11-21,0.0,8bb528e81e8c9858947ded437f275091
1,negative,2012-11-22,0.0,dfb6de3a489ef029d82179869ffc75e2
1,negative,2012-11-23,0.0,89d9f48f4fe39253d3579d52c8fc1b7f
1,negative,2012-11-24,0.0,d50b188bba53f99e59e883b5a15435c8
1,negative,2012-11-25,0.0,fb22f822a5ae8a22ffe039444bf14c2e
1,negative,2012-11-26,0.0,788f1552217db5cf3bef8b525fbcf076
1,negative,2012-11-27,0.0,b607c83cf9744e13632511c10182e5aa
1,negative,2012-11-28,0.0,3a04c5151bb4a368ba4e43315df57848
1,negative,2012-11-29,0.0,508d477b4eddbce5d44659fc94031585
1,negative,2012-11-30,0.0,3d4143d99e33f19f31c2af77b492b128
1,negative,2012-12-01,0.0,128c9a03faa6a4efe4f4d000d16ade6d
1,negative,2012-12-02,0.0,e4c2dca21ca0cbf0ae9eb62bf3a4e071
1,negative,2012-12-03,0.0,9788e3262c3c96d5405311a90fe9a904
1,negative,2012-12-04,0.0,078c8706a6088cad263c7cec60f4543e
1,negative,2012-12-05,0.0,e45215e71a79121f2cdb41f6a80bb00d
1,negative,2012-12-06,0.0,ab2bab3d6cf72a57df54c95248be8496
1,negative,2012-12-08,0.0,2cedf621d056102a7166ef8bb2398764
1,negative,2012-12-09,0.0,b9dfb2d3af100f5b481e6ef742f1833c
1,negative,2012-12-22,0.0,d9fd3e0df911ba8f5c2edbd552ccfd9b
1,negative,2012-12-23,0.0,41214e64e41d52cf2a914d7747cc4958
1,negative,2012-12-24,0.0,41ec0447db797218d154f80b9aeac219
1,negative,2012-12-25,0.0,b9faaf18ff239ac81697ae42b76ae3c9
1,negative,2012-12-26,0.0,b09096b0620b7a592831a49053973cf8
1,negative,2012-12-27,0.0,eaa57753b01c285c92cf17d592a2ae18
1,negative,2012-12-28,0.0,89ddd16a218f3baa967bd1a1b685d546
2,negative,2013-01-03,100.0,feaed87633629dd4eae7bb1538cafb06
2,negative,2013-01-04,100.0,4659495737340b4277455ea9844f5085
3,negative,2013-01-05,200.0,6da8cf9fca3b5469af3021f8360b01d7
3,negative,2013-01-06,200.0,7e50a0a3471edfadbfdf92c7a3ffa424
3,negative,2013-01-07,200.0,a8ed95063560749a32d4eeb48d6caf51
3,negative,2013-01-08,200.0,c4ce738220336a29ecc1d2e01ceb9f2b
3,negative,2013-01-09,50.0,dbb9cdc3ef1ec3631a243aadf3ffb9ce
1,negative,2013-01-10,-50.0,da138f896820c6d6fb7899115ff780b3
1,negative,2013-01-11,-66.67,60d4409fb4771b1da48088efe6c5e99f
1,negative,2013-01-21,-66.67,ff2b25a26d2847183d9c81007f7da0c9
1,negative,2013-01-22,-66.67,0852195d68000ad0aa113113188f4e6b
1,negative,2013-01-23,-66.67,92a1306fa30acdf5ab2a7166f2ca332f
1,negative,2013-01-24,-66.67,e1f42848d33982cda5d6e3890294ec29
1,negative,2013-01-26,0.0,801dc6d68c12f6a9e30c41dc8e562316
1,negative,2013-01-27,0.0,f530dc7bd7c89237c80bf09a3cc5b4af
1,negative,2013-01-28,0.0,15e4a576056c74b084514816d91fa375
1,negative,2013-01-29,0.0,9c5b82589d78e79627ffe132972d5237
1,negative,2013-01-30,0.0,f558e12a7a22d18508f7947d3987eee4
1,negative,2013-01-31,0.0,49212024c59d85551a6000f4ad98036d
1,negative,2013-02-01,0.0,9a5e739131011770d6ca540482f5453f
1,negative,2013-02-02,0.0,bd82454cda5a5c22859f5bb86ebab0aa
1,negative,2013-02-03,0.0,92e9a8ee5facdcd9dc4eb8a3005941ad
1,negative,2013-02-04,0.0,4854c3d0e00f6e4069230abfbe52cd8a
1,negative,2013-02-05,0.0,91859d2f8a280160b760b043017107bc
1,negative,2013-02-06,0.0,4dfd2808561a3cd1c41bd1580b9e319a
1,negative,2013-02-07,0.0,9c9781c21e7478a5c59e34a476f36e29
2,negative,2013-02-08,100.0,e52c9fc91945dbac3d03e17eb072ee43
2,negative,2013-02-09,100.0,dbf6a6b39d9447458af2dee16f871839
3,negative,2013-02-10,200.0,2060c8497e0ba109a1b9c635b32713e3
2,negative,2013-02-11,100.0,014a00ef4e286edff50b1502be5b155c
3,negative,2013-02-12,200.0,6515e30123ab1408bab3c9475a121c8c
3,negative,2013-02-13,200.0,946223345ca7972164974dc99ef6d867
3,negative,2013-02-14,50.0,540d85b5c4d3ee3d1c2d94d3402e2413
2,negative,2013-02-15,0.0,de074141b460f3f3aecee700efc2a0b4
2,negative,2013-02-16,-33.33,f91d7196368c1b6a4a7882adacacd696
1,negative,2013-02-17,-50.0,e1b8945308edb43c0760347896625c9c
1,negative,2013-02-18,-66.67,31559c5cbad4dd8eac8743368e270905
