retailer,plan_name,day_of_week,hour,price_per_kwh,daily_charge
Sunstream,Anytime,0,17,22.87,226.19
Sunstream,Anytime,0,18,22.87,226.19
Sunstream,Anytime,0,19,22.87,226.19
Sunstream,Anytime,0,20,22.87,226.19
Sunstream,Anytime,0,21,22.87,226.19
Sunstream,Anytime,0,22,22.87,226.19
Sunstream,Anytime,0,23,22.87,226.19
Sunstream,Anytime,1,0,22.87,226.19
Sunstream,Anytime,1,1,22.87,226.19
Sunstream,Anytime,1,2,22.87,226.19
Sunstream,Anytime,1,3,22.87,226.19
Sunstream,Anytime,1,4,22.87,226.19
Sunstream,Anytime,1,5,22.87,226.19
Sunstream,Anytime,1,6,22.87,226.19
Sunstream,Anytime,1,7,22.87,226.19
Sunstream,Anytime,1,8,22.87,226.19
Sunstream,Anytime,1,9,22.87,226.19
Sunstream,Anytime,1,10,22.87,226.19
Sunstream,Anytime,1,11,22.87,226.19
Sunstream,Anytime,1,12,22.87,226.19
Sunstream,Anytime,1,13,22.87,226.19
Sunstream,Anytime,1,14,22.87,226.19
Sunstream,Anytime,1,15,22.87,226.19
Sunstream,Anytime,1,16,22.87,226.19
Sunstream,Anytime,1,17,22.87,226.19
Sunstream,Anytime,1,18,22.87,226.19
Sunstream,Anytime,1,19,22.87,226.19
Sunstream,Anytime,1,20,22.87,226.19
Sunstream,Anytime,1,21,22.87,226.19
Sunstream,Anytime,1,22,22.87,226.19
Sunstream,Anytime,1,23,22.87,226.19
Sunstream,Anytime,2,0,22.87,226.19
Sunstream,Anytime,2,1,22.87,226.19
Sunstream,Anytime,2,2,22.87,226.19
Sunstream,Anytime,2,3,22.87,226.19
Sunstream,Anytime,2,4,22.87,226.19
Sunstream,Anytime,2,5,22.87,226.19
Sunstream,Anytime,2,6,22.87,226.19
Sunstream,Anytime,2,7,22.87,226.19
Sunstream,Anytime,2,8,22.87,226.19
Sunstream,Anytime,2,9,22.87,226.19
Sunstream,Anytime,2,10,22.87,226.19
Sunstream,Anytime,2,11,22.87,226.19
Sunstream,Anytime,2,12,22.87,226.19
Sunstream,Anytime,2,13,22.87,226.19
Sunstream,Anytime,2,14,22.87,226.19
Sunstream,Anytime,2,15,22.87,226.19
Sunstream,Anytime,2,16,22.87,226.19
Sunstream,Anytime,2,17,22.87,226.19
Sunstream,Anytime,2,18,22.87,226.19
Sunstream,Anytime,2,19,22.87,226.19
Sunstream,Anytime,2,20,22.87,226.19
Sunstream,Anytime,2,21,22.87,226.19
Sunstream,Anytime,2,22,22.87,226.19
Sunstream,Anytime,2,23,22.87,226.19
Sunstream,Anytime,3,0,22.87,226.19
Sunstream,Anytime,3,1,22.87,226.19
Sunstream,Anytime,3,2,22.87,226.19
Sunstream,Anytime,3,3,22.87,226.19
Sunstream,Anytime,3,4,22.87,226.19
Sunstream,Anytime,3,5,22.87,226.19
Sunstream,Anytime,3,6,22.87,226.19
Sunstream,Anytime,3,7,22.87,226.19
Sunstream,Anytime,3,8,22.87,226.19
Sunstream,Anytime,3,9,22.87,226.19
Sunstream,Anytime,3,10,22.87,226.19
Sunstream,Anytime,3,11,22.87,226.19
Sunstream,Anytime,3,12,22.87,226.19
Sunstream,Anytime,3,13,22.87,226.19
Sunstream,Anytime,3,14,22.87,226.19
Sunstream,Anytime,3,15,22.87,226.19
Sunstream,Anytime,3,16,22.87,226.19
Sunstream,Anytime,3,17,22.87,226.19
Sunstream,Anytime,3,18,22.87,226.19
Sunstream,Anytime,3,19,22.87,226.19
Sunstream,Anytime,3,20,22.87,226.19
Sunstream,Anytime,3,21,22.87,226.19
Sunstream,Anytime,3,22,22.87,226.19
Sunstream,Anytime,3,23,22.87,226.19
Sunstream,Anytime,4,0,22.87,226.19
Sunstream,Anytime,4,1,22.87,226.19
Sunstream,Anytime,4,2,22.87,226.19
Sunstream,Anytime,4,3,22.87,226.19
Sunstream,Anytime,4,4,22.87,226.19
Sunstream,Anytime,4,5,22.87,226.19
Sunstream,Anytime,4,6,22.87,226.19
Sunstream,Anytime,4,7,22.87,226.19
Sunstream,Anytime,4,8,22.87,226.19
Sunstream,Anytime,4,9,22.87,226.19
Sunstream,Anytime,4,10,22.87,226.19
Sunstream,Anytime,4,11,22.87,226.19
Sunstream,Anytime,4,12,22.87,226.19
Sunstream,Anytime,4,13,22.87,226.19
Sunstream,Anytime,4,14,22.87,226.19
Sunstream,Anytime,4,15,22.87,226.19
Sunstream,Anytime,4,16,22.87,226.19
Sunstream,Anytime,4,17,22.87,226.19
Sunstream,Anytime,4,18,22.87,226.19
Sunstream,Anytime,4,19,22.87,226.19
Sunstream,Anytime,4,20,22.87,226.19
Sunstream,Anytime,4,21,22.87,226.19
Sunstream,Anytime,4,22,22.87,226.19
Sunstream,Anytime,4,23,22.87,226.19
Sunstream,Anytime,5,0,22.87,226.19
Sunstream,Anytime,5,1,22.87,226.19
Sunstream,Anytime,5,2,22.87,226.19
Sunstream,Anytime,5,3,22.87,226.19
Sunstream,Anytime,5,4,22.87,226.19
Sunstream,Anytime,5,5,22.87,226.19
Sunstream,Anytime,5,6,22.87,226.19
Sunstream,Anytime,5,7,22.87,226.19
Sunstream,Anytime,5,8,22.87,226.19
Sunstream,Anytime,5,9,22.87,226.19
Sunstream,Anytime,5,10,22.87,226.19
Sunstream,Anytime,5,11,22.87,226.19
Sunstream,Anytime,5,12,22.87,226.19
Sunstream,Anytime,5,13,22.87,226.19
Sunstream,Anytime,5,14,22.87,226.19
Sunstream,Anytime,5,15,22.87,226.19
Sunstream,Anytime,5,16,22.87,226.19
Sunstream,Anytime,5,17,22.87,226.19
Sunstream,Anytime,5,18,22.87,226.19
Sunstream,Anytime,5,19,22.87,226.19
Sunstream,Anytime,5,20,22.87,226.19
Sunstream,Anytime,5,21,22.87,226.19
Sunstream,Anytime,5,22,22.87,226.19
Sunstream,Anytime,5,23,22.87,226.19
Sunstream,Anytime,6,0,22.87,226.19
Sunstream,Anytime,6,1,22.87,226.19
Sunstream,Anytime,6,2,22.87,226.19
Sunstream,Anytime,6,3,22.87,226.19
Sunstream,Anytime,6,4,22.87,226.19
Sunstream,Anytime,6,5,22.87,226.19
Sunstream,Anytime,6,6,22.87,226.19
Sunstream,Anytime,6,7,22.87,226.19
Sunstream,Anytime,6,8,22.87,226.19
Sunstream,Anytime,6,9,22.87,226.19
Sunstream,Anytime,6,10,22.87,226.19
Sunstream,Anytime,6,11,22.87,226.19
Sunstream,Anytime,6,12,22.87,226.19
Sunstream,Anytime,6,13,22.87,226.19
Sunstream,Anytime,6,14,22.87,226.19
Sunstream,Anytime,6,15,22.87,226.19
Sunstream,Anytime,6,16,22.87,226.19
Sunstream,Anytime,6,17,22.87,226.19
Sunstream,Anytime,6,18,22.87,226.19
Sunstream,Anytime,6,19,22.87,226.19
Sunstream,Anytime,6,20,22.87,226.19
Sunstream,Anytime,6,21,22.87,226.19
Sunstream,Anytime,6,22,22.87,226.19
Sunstream,Anytime,6,23,22.87,226.19
