LISTING_ID,LISTING_NAME,MINIMUM_NIGHTS,HOST_ID,ROOM_TYPE,PRICE,CREATED_AT,UPDATED_AT
83614,Spacious Prenzlauer Berg Apartment in Quiet Street,1,456085,Entire home/apt,204.000,2011-03-29 06:07:06,2011-03-29 06:07:06
85560,Apartment 1 in Berlin,3,451311,Entire home/apt,79.000,2015-04-18 16:47:49,2015-04-18 16:47:49
86055,Luxury holiday apartment in Berlin,60,470146,Entire home/apt,90.000,2011-07-19 19:25:35,2011-07-19 19:25:35
86090,spacious and cozy living in PrenzlBerg,3,472567,Entire home/apt,102.000,2011-05-30 00:27:46,2011-05-30 00:27:46
89102,Bright loft in the Kastanienallee,4,485838,Entire home/apt,106.000,2011-05-14 12:27:55,2011-05-14 12:27:55
102882,STORAGE APARTMENT URBAN,3,86173,Entire home/apt,521.000,2011-06-06 01:55:30,2011-06-06 01:55:30
103602,Fabulous Room in Berlin's cultural centre,4,422837,Private room,61.000,2012-02-07 00:14:03,2012-02-07 00:14:03
111579,IN THE CENTER OF BERLIN.....,5,570951,Entire home/apt,75.000,2011-10-23 04:26:52,2011-10-23 04:26:52
114763,In the heart of Berlin!,3,582007,Entire home/apt,135.000,2012-12-12 03:13:20,2012-12-12 03:13:20
115576,Bed and Garden,2,584750,Entire home/apt,75.000,2013-08-20 22:27:26,2013-08-20 22:27:26
116832,Clean & Spacious Kreuzberg Apt,21,590130,Entire home/apt,70.000,2014-07-19 04:18:26,2014-07-19 04:18:26
117649,F43 - your base for Berlin,92,594164,Entire home/apt,68.000,2011-06-09 15:19:03,2011-06-09 15:19:03
127708,Design Jewel in the midst of MITTE!,2,632174,Entire home/apt,73.000,2011-10-30 14:34:35,2011-10-30 14:34:35
128827,Gorgeous Home in the Heart of East Berlin,7,632971,Entire home/apt,59.000,2015-04-02 14:49:29,2015-04-02 14:49:29
135097,Near KaDeWe & Kurfürstendamm,1,662534,Entire home/apt,115.000,2011-07-09 10:10:17,2011-07-09 10:10:17
143605,""" Berlin Fuffa's 40m2  apartment """,60,696492,Entire home/apt,40.000,2011-08-16 03:58:44,2011-08-16 03:58:44
145249,Private Wing of Penthouse - Terrace,2,1853661,Private room,70.000,2012-08-06 06:26:11,2012-08-06 06:26:11
147339,LOVELY APARTMENT - CENTRAL - QUIET,3,712073,Entire home/apt,50.000,2011-08-04 18:29:36,2011-08-04 18:29:36
147946,1-room-flat in Prenzlauer Berg/WIFI,183,712973,Entire home/apt,28.000,2011-09-21 04:16:23,2011-09-21 04:16:23
151249,"Quiet, Terrasse, cats, baby equiped",10,728298,Entire home/apt,80.000,2015-09-14 01:53:15,2015-09-14 01:53:15
156010,TWO ROOM APARTMENT ALEXANDERPLATZ,90,750165,Entire home/apt,36.000,2011-06-29 07:42:38,2011-06-29 07:42:38
157839,1 room in typical berlin-style apt. for dog lovers,1,671536,Private room,35.000,2011-11-06 15:41:32,2011-11-06 15:41:32
159454,"Bright, Charming and Modern Altbau",2,499725,Entire home/apt,161.000,2012-08-13 03:01:39,2012-08-13 03:01:39
162111,"Sunny, cosy room + holland bicycle!",5,775103,Private room,42.000,2011-09-09 22:56:05,2011-09-09 22:56:05
163411,Ample parkside apartment Kreuzberg,5,779213,Entire home/apt,110.000,2011-12-25 23:13:28,2011-12-25 23:13:28
164475,Sunny Room in Beautiful Apartment in Kreuzberg,7,784423,Private room,45.000,2014-02-16 17:28:53,2014-02-16 17:28:53
168615,STAYINTOWN - Apartment in Berlin,2,803717,Entire home/apt,49.000,2012-07-03 11:07:07,2012-07-03 11:07:07
169907,Cozy Berlin nest with great access,1,809715,Private room,30.000,2015-07-23 05:04:54,2015-07-23 05:04:54
170652,2-room apartment. Mauerpark TOP!,5,814026,Private room,50.000,2012-07-18 23:44:41,2012-07-18 23:44:41
173153,Beautiful flat 95m² in Berlin Mitte,2,826546,Entire home/apt,80.000,2011-09-08 11:15:18,2011-09-08 11:15:18
174391,BERLIN The most central!,1,833209,Private room,42.000,2016-04-25 04:46:58,2016-04-25 04:46:58
174547,Berlin City Apartment 1with WiFi,90,833995,Entire home/apt,103.000,2011-11-18 00:14:57,2011-11-18 00:14:57
174560,"2 apartment in Berlin Center, WiFi",60,833995,Entire home/apt,78.000,2012-05-14 07:57:47,2012-05-14 07:57:47
174576,Berlin City Suite 3 mit W-Lan,60,833995,Entire home/apt,103.000,2012-01-28 06:36:46,2012-01-28 06:36:46
174579,Berlin City Studio 4 mit W-Lan,60,833995,Entire home/apt,78.000,2012-01-16 19:46:19,2012-01-16 19:46:19
175667,"calm, sunny and central apartment",180,839532,Entire home/apt,39.000,2011-11-09 07:34:08,2011-11-09 07:34:08
176342,11C Landmark/Checkpoint Charlie/120m2/2BATH/3BR,3,843326,Entire home/apt,194.000,2013-12-19 08:05:13,2013-12-19 08:05:13
176355,11A Landmark/Checkpoint Charlie/110m2/2BATH/2BR,3,843326,Entire home/apt,190.000,2011-12-10 11:31:07,2011-12-10 11:31:07
176396,Quiet room direct to metro station,1,843558,Private room,21.000,2016-12-04 10:46:38,2016-12-04 10:46:38
176852,Big & sunny apartment in Kreuzberg,3,845790,Entire home/apt,70.000,2015-09-12 04:40:45,2015-09-12 04:40:45
178347,Design Apartment Berlin Neukölln,2,853446,Entire home/apt,76.000,2011-10-12 15:54:27,2011-10-12 15:54:27
179102,"registered, legal hughe penthouse for 1-2 families",2,857327,Entire home/apt,170.000,2011-12-24 08:22:09,2011-12-24 08:22:09
180440,CITY STUDIO WEST@ Kurfürstendamm(monthly discount),92,864399,Entire home/apt,43.000,2012-07-21 16:02:02,2012-07-21 16:02:02
183988,Luxury Ku'damm Studio +  Bikes 4you,2,882801,Entire home/apt,78.000,2012-01-04 20:09:51,2012-01-04 20:09:51
185960,bright and large furnished room,7,893191,Private room,29.000,2011-08-16 20:40:11,2011-08-16 20:40:11
186663,Apartment Berlin TW Mexikoplatz,122,897302,Entire home/apt,90.000,2012-04-10 04:52:10,2012-04-10 04:52:10
186851,"CasaKaiser, 2 room apartment",92,898345,Entire home/apt,33.000,2012-05-31 13:42:07,2012-05-31 13:42:07
188922,Stay in Prenzlauerberg Berlin !,28,910884,Entire home/apt,45.000,2011-09-24 17:30:16,2011-09-24 17:30:16
189288,Townhouse Altenescher Weg,3,907038,Entire home/apt,105.000,2012-04-07 00:29:29,2012-04-07 00:29:29
189596,Mitte Miniloft apartment w. terrace,4,914711,Entire home/apt,80.000,2011-09-01 12:18:12,2011-09-01 12:18:12
190448,Modernes Studioapartment Berlin,2,920085,Entire home/apt,52.000,2012-06-25 00:40:44,2012-06-25 00:40:44
191023,2-Room-Apartment in Berlin-Mitte,1,923408,Private room,55.000,2014-06-19 05:40:57,2014-06-19 05:40:57
192050,Perfect for 5 + WLAN near (URL HIDDEN),183,929861,Entire home/apt,48.000,2011-12-27 16:16:42,2011-12-27 16:16:42
192499,Franks kleines Museum,2,868282,Private room,46.000,2011-08-11 19:54:42,2011-08-11 19:54:42
193601,"Well located, cozy 2 rooms apartment, all close by",3,939230,Entire home/apt,75.000,2021-11-05 21:09:27,2021-11-05 21:09:27
194374,Cottage in the city with garden,3,943996,Entire home/apt,65.000,2012-01-05 19:54:30,2012-01-05 19:54:30
194465,Beautiful Loft-Studio with garden,3,944530,Entire home/apt,75.000,2011-10-11 12:51:22,2011-10-11 12:51:22
195413,Residential floor space in Mexicopl,183,897302,Entire home/apt,230.000,2012-10-28 23:01:47,2012-10-28 23:01:47
197291,"App. w garden, firepl. a. whirlpool",7,1311026,Entire home/apt,119.000,2011-08-19 13:08:53,2011-08-19 13:08:53
197850,Central Location Prenzlauer Berg,3,964971,Entire home/apt,89.000,2011-09-15 15:37:22,2011-09-15 15:37:22
198239,Fanstastic Studio Loft in Kreuzberg,3,868242,Entire home/apt,76.000,2013-06-11 19:38:34,2013-06-11 19:38:34
198584,"Oriental Style Room, Kudamm / Zoo",7,969532,Private room,42.000,2015-01-30 18:14:14,2015-01-30 18:14:14
200125,TOP apartment in art nouveau villa,60,977942,Entire home/apt,89.000,2021-11-10 21:19:24,2021-11-10 21:19:24
205296,4* apartment in quiet south Berlin,5,1009105,Entire home/apt,100.000,2019-08-31 04:26:15,2019-08-31 04:26:15
206021,"Nice sunny room ,Central area...you",14,467895,Private room,35.000,2018-06-24 00:17:13,2018-06-24 00:17:13
206454,Design Apartment in Mitte next to Weinbergspark,3,358915,Entire home/apt,120.000,2012-04-07 20:06:12,2012-04-07 20:06:12
207740,Schicke Garten-Maisonette in Kreuzberg,7,1022663,Entire home/apt,195.000,2017-08-03 23:00:29,2017-08-03 23:00:29
208495,CENTRAL VINTAGE-MODERN FLAT,2,965569,Entire home/apt,150.000,2021-11-08 14:47:35,2021-11-08 14:47:35
209649,Berlin Center – Charlottenburg Wilmersdorf,7,1033300,Private room,42.000,2011-08-26 20:29:04,2011-08-26 20:29:04
210734,VERY CENTRAL AND COSY,3,1039350,Entire home/apt,175.000,2011-09-12 16:29:12,2011-09-12 16:29:12
212348,3 Zimmer mit Balkon im schönen Friedrichshain,2,1095251,Entire home/apt,123.000,2019-09-01 03:14:11,2019-09-01 03:14:11
212470,furnished room in beautiful old app,5,1095682,Private room,40.000,2018-07-03 15:17:46,2018-07-03 15:17:46
214491,"enchanting room in the centre,",3,1107206,Private room,35.000,2011-11-26 21:05:50,2011-11-26 21:05:50
214518,Chimaysaberlin B&B Front Double Bed,1,156897,Private room,38.000,2012-09-15 05:40:21,2012-09-15 05:40:21
220445,Apt. Near Charlottenburg Palace,30,1142834,Entire home/apt,45.000,2013-04-22 23:40:45,2013-04-22 23:40:45
221015,clean calm cosy central Berlin Wedding apartment,4,1146238,Entire home/apt,75.000,2011-09-28 08:33:05,2011-09-28 08:33:05
222784,"Quiet-central-balcony-WiFi, (min 30 days)",30,1156924,Entire home/apt,37.000,2011-12-06 18:55:53,2011-12-06 18:55:53
223622,1 bedroom in Berlin Friedrichshain,2,913422,Entire home/apt,45.000,2012-12-31 00:29:07,2012-12-31 00:29:07
226108,Homely flat in the heart of Berlin,30,1178780,Entire home/apt,70.000,2012-04-29 10:38:23,2012-04-29 10:38:23
229099,Nice room near airport Berlin BER,1,1196119,Private room,35.000,2012-01-24 06:12:46,2012-01-24 06:12:46
229348,Excl. Studio A Mitte/Hansaviertel,5,1195177,Entire home/apt,79.000,2011-10-20 13:46:14,2011-10-20 13:46:14
229363,Excl. Studio B Mitte/Hansaviertel,5,1195177,Entire home/apt,79.000,2012-11-10 13:53:14,2012-11-10 13:53:14
229776,Cosy room in Mitte / Rosenthaler Platz,3,956350,Private room,43.000,2011-09-22 21:21:25,2011-09-22 21:21:25
230411,Wonderful Room in Hip Kreuzberg!!,3,1204085,Private room,40.000,2011-09-19 07:00:10,2011-09-19 07:00:10
230611,4 bedroom holiday house Berlin,90,1205340,Entire home/apt,80.000,2012-10-13 13:14:24,2012-10-13 13:14:24
233083,2-bed-loft-dwelling designers flat,10,1219893,Entire home/apt,98.000,2011-12-23 14:54:51,2011-12-23 14:54:51
233453,Pretty room in Neukölln/Sonnenallee,2,1221935,Private room,32.000,2011-11-25 03:48:19,2011-11-25 03:48:19
233770,Holiday apartment in Berlin's Green,3,1224097,Entire home/apt,59.000,2014-03-01 07:53:52,2014-03-01 07:53:52
236509,"Berlin City Center, Great Vista",120,1240004,Entire home/apt,82.000,2011-10-06 09:53:16,2011-10-06 09:53:16
237372,"Ferien an der Kastanienallee, 2 bedroom",3,1244828,Entire home/apt,84.000,2012-04-07 23:05:29,2012-04-07 23:05:29
237670,Apartment Burde 2,3,920085,Entire home/apt,45.000,2015-10-02 07:25:38,2015-10-02 07:25:38
238396,"Within the city, calm and leafy",3,1250154,Entire home/apt,80.000,2011-11-03 13:30:58,2011-11-03 13:30:58
239139,"Central, Berlin Mitte,  2room, furnished, balcony",92,1254352,Entire home/apt,47.000,2011-10-26 07:36:01,2011-10-26 07:36:01
240169,"Berlin, Neukölln, Room B",3,1259589,Private room,22.000,2016-01-30 02:58:09,2016-01-30 02:58:09
242794,Elegant renovated apartment 72 m2,4,1274606,Entire home/apt,110.000,2012-04-10 06:17:11,2012-04-10 06:17:11
242908,Holiday Apartment in Berlin Wannsee with balcony,5,1275359,Entire home/apt,75.000,2021-10-24 17:51:46,2021-10-24 17:51:46
242978,Exclusive one-bedroom apartment,2,1275576,Entire home/apt,59.000,2012-12-19 05:41:22,2012-12-19 05:41:22
243057,"rooftop-apartement ""Blueberry Hill""  Berlin center",2,1275795,Entire home/apt,204.000,2015-03-25 11:22:01,2015-03-25 11:22:01
243063,Holiday apartment in Berlin Mitte,1,1275846,Entire home/apt,101.000,2012-06-30 04:25:56,2012-06-30 04:25:56
243081,"Living with style, apartment 2",1,1275846,Entire home/apt,101.000,2012-05-06 09:20:55,2012-05-06 09:20:55
243238,Blue Jewel in Green Borough,2,1276585,Entire home/apt,68.000,2015-02-12 19:11:29,2015-02-12 19:11:29
245744,Apartment in central Berlin,4,1289259,Entire home/apt,149.000,2012-02-07 17:06:37,2012-02-07 17:06:37
245781,1-room FewWo near Alexanderplatz,2,1289393,Entire home/apt,70.000,2012-02-19 07:51:30,2012-02-19 07:51:30
245809,2-bedroom apartment Prenzlauer Berg,4,1289393,Entire home/apt,90.000,2012-07-01 01:30:17,2012-07-01 01:30:17
245827,2-bedroom apartment Gendarmenmarkt,30,1289393,Entire home/apt,93.000,2012-11-07 22:07:23,2012-11-07 22:07:23
245991,World stroller's club 2,30,1290112,Entire home/apt,25.000,2013-09-21 15:17:32,2013-09-21 15:17:32
246007,World stroller's club 1,30,1290112,Entire home/apt,21.000,2012-09-04 15:10:44,2012-09-04 15:10:44
248375,Culture and shopping,1,1301421,Private room,66.000,2012-05-10 19:51:06,2012-05-10 19:51:06
250007,Exotic holiday apartment in Berlin,2,1310272,Entire home/apt,59.000,2012-07-22 17:06:30,2012-07-22 17:06:30
250015,Business Apartment am KaDeWe,63,1310277,Entire home/apt,70.000,2014-06-08 19:37:36,2014-06-08 19:37:36
250023,Family- Apartment am KaDeWe 2,22,1310277,Entire home/apt,51.000,2012-04-20 03:59:25,2012-04-20 03:59:25
250030,Quiet city centre Studio Apartment,90,1310277,Entire home/apt,45.000,2012-10-07 16:42:59,2012-10-07 16:42:59
250121,Cosy single room,3,1310755,Private room,54.000,2012-06-20 20:54:57,2012-06-20 20:54:57
250138,Nice double room,3,1310755,Private room,63.000,2012-01-05 12:00:36,2012-01-05 12:00:36
250171,Great Double bedroom,3,1310755,Private room,60.000,2012-07-04 07:40:47,2012-07-04 07:40:47
250253,Apartment: Luise in Berlin,3,1311309,Entire home/apt,102.000,2014-06-11 00:27:43,2014-06-11 00:27:43
250376,Enchanting 142m²(1530 ft²)  Loft/Room in F'Hain,1,1312190,Private room,200.000,2011-12-26 23:49:48,2011-12-26 23:49:48
250684,Lovely four bedroom,3,1310755,Private room,94.000,2012-08-11 16:09:24,2012-08-11 16:09:24
250687,Apollo Apartments 1,3,1310866,Entire home/apt,60.000,2012-06-25 11:29:32,2012-06-25 11:29:32
250704,Holiday Apartment with Garden,6,1314462,Entire home/apt,62.000,2014-04-14 09:09:23,2014-04-14 09:09:23
250707,Apartment: Friederike in Berlin,3,1311309,Entire home/apt,62.000,2013-07-05 08:18:56,2013-07-05 08:18:56
250729,Apartment: Grazer Gärten in Berlin,3,1311309,Entire home/apt,88.000,2017-03-04 19:40:47,2017-03-04 19:40:47
250753,Apartment: Großer Kurfürst,3,1311309,Entire home/apt,102.000,2017-12-17 00:46:55,2017-12-17 00:46:55
250871,Big 1-room-apartment!,5,386940,Entire home/apt,63.000,2014-06-17 06:30:41,2014-06-17 06:30:41
251398,Modern Room in a nice Environment,1,1318500,Private room,40.000,2012-06-22 04:16:01,2012-06-22 04:16:01
252933,Room vibrant but cozy Schoeneberg,2,1328204,Private room,25.000,2012-09-19 09:09:54,2012-09-19 09:09:54
252967,Pension am Traveplatz Zimmer 1,2,1328326,Private room,35.000,2012-04-19 10:17:32,2012-04-19 10:17:32
252993,Pension am Traveplatz Zimmer 2,2,1328326,Private room,30.000,2012-06-07 23:48:37,2012-06-07 23:48:37
253005,Pension am Traveplatz Zimmer 3,2,1328326,Private room,30.000,2012-01-16 04:09:52,2012-01-16 04:09:52
255368,Very Well Located Room in Neukolln's Trendy Area!,6,1341919,Private room,18.000,2018-04-14 09:25:56,2018-04-14 09:25:56
255557,Cosy studio FridayBerlin for you,2,1343263,Entire home/apt,70.000,2012-06-21 10:33:53,2012-06-21 10:33:53
255722,Renovated apt in an old building,3,1344455,Entire home/apt,72.000,2011-12-26 00:06:14,2011-12-26 00:06:14
255778,Beautiful apt. in a great location,2,1344754,Entire home/apt,95.000,2014-09-20 19:43:11,2014-09-20 19:43:11
255829,Idyllic located Apartment,3,1345035,Entire home/apt,58.000,2012-10-14 13:44:00,2012-10-14 13:44:00
255912,Apartment in a great location,5,1345381,Entire home/apt,69.000,2012-08-22 04:25:48,2012-08-22 04:25:48
257317,Apartment in the heart of Berlin,2,1354122,Entire home/apt,65.000,2012-11-21 01:41:57,2012-11-21 01:41:57
257373,Sunny Boutique Studio in Center,1,1303212,Entire home/apt,107.000,2012-01-24 08:50:48,2012-01-24 08:50:48
263817,Lovely_room_Berlin_Neukölln,2,1152791,Private room,29.000,2018-08-10 03:43:43,2018-08-10 03:43:43
264459,"Central, cosy and one-of-a-kind",3,1250154,Entire home/apt,85.000,2012-03-20 11:36:59,2012-03-20 11:36:59
265354,Nice apartment in Berlin,1,1391772,Private room,85.000,2014-06-02 04:43:15,2014-06-02 04:43:15
265389,Beautiful single room in Berlin,1,1391772,Private room,59.000,2016-01-08 03:18:07,2016-01-08 03:18:07
265402,Nice room for 3 persons,1,1391772,Shared room,31.000,2015-03-21 16:24:25,2015-03-21 16:24:25
265408,Elegant 4-bed room in Berlin,1,1391772,Shared room,29.000,2014-06-02 01:04:43,2014-06-02 01:04:43
265955,Top Central Charming Relaxed Berlin,93,1394961,Entire home/apt,42.000,2012-06-27 15:10:54,2012-06-27 15:10:54
266086,Private Ferienwohnung in Berlin,3,1395425,Entire home/apt,85.000,2014-09-03 09:38:03,2014-09-03 09:38:03
267951,Modernes Apartment in Berlin P´berg,2,1404760,Entire home/apt,70.000,2014-03-08 22:36:44,2014-03-08 22:36:44
268910,Southeast of Berlin - fantastic apartment,3,1408921,Entire home/apt,48.000,2014-11-05 13:45:09,2014-11-05 13:45:09
268974,Flat Familie Heucke,3,1409188,Entire home/apt,60.000,2013-04-18 00:21:33,2013-04-18 00:21:33
269455,rent a flat or room in kreuzberg,1,1411715,Entire home/apt,65.000,2018-06-24 12:40:53,2018-06-24 12:40:53
270477,QUIET GARDEN (child friendly) private apartment,3,540534,Private room,52.000,2011-12-10 05:57:33,2011-12-10 05:57:33
271340,Central & Homelike Apartment,3,1420077,Entire home/apt,73.000,2012-05-21 16:39:52,2012-05-21 16:39:52
273076,"nice apartment in Samoastr., Berlin",3,1428852,Entire home/apt,65.000,2013-11-17 15:52:52,2013-11-17 15:52:52
273106,"beautiful stylish apartment, Berlin",5,1428852,Entire home/apt,64.000,2012-05-01 18:54:19,2012-05-01 18:54:19
278415,NEW Berlin Bellevue *Victory Column,25,1453075,Entire home/apt,90.000,2012-06-25 12:45:33,2012-06-25 12:45:33
279315,Flat in Neukölln (Postmodern Cloister ),20,1456634,Entire home/apt,40.000,2012-12-26 11:57:14,2012-12-26 11:57:14
279344,Happy-haven in the heart of Berlin,5,1456872,Entire home/apt,71.000,2012-02-24 03:28:58,2012-02-24 03:28:58
282214,Nice room close to Kurfürstendamm,3,1135836,Private room,29.000,2021-11-05 13:22:54,2021-11-05 13:22:54
292864,Lounge Room –  Alex in 5 Min,1,286494,Private room,31.000,2012-05-02 09:00:38,2012-05-02 09:00:38
301773,Nice Apartment at Prenzlauer Berg,2,1554470,Entire home/apt,64.000,2012-09-23 17:43:20,2012-09-23 17:43:20
302167,Nice 2 Room apartment at Prenzl Bg,3,1554470,Entire home/apt,66.000,2013-04-12 20:55:38,2013-04-12 20:55:38
303097,Beautiful city apartment at park,3,1560726,Private room,54.000,2012-07-10 08:14:31,2012-07-10 08:14:31
304904,bedroom with your own bath,30,870376,Private room,29.000,2012-02-21 20:18:05,2012-02-21 20:18:05
305987,Lovely Apartment in Berlin Prenzlauer Berg,3,246890,Entire home/apt,71.000,2012-04-01 02:55:06,2012-04-01 02:55:06
306312,LOVINGLY RESTORED 100qm APARTMENT,4,1575292,Entire home/apt,160.000,2012-03-17 19:01:27,2012-03-17 19:01:27
306502,"1,5 bedroom at Ku'damm close to IFA",4,1576481,Entire home/apt,71.000,2016-09-10 09:41:39,2016-09-10 09:41:39
309511,Prenzlberg Designer Apt w. Balcony,3,1591761,Entire home/apt,65.000,2012-01-16 20:21:33,2012-01-16 20:21:33
311703,Elegant 4 Room Apartment with 2 Bathrooms,3,1602903,Entire home/apt,257.000,2012-05-19 02:55:34,2012-05-19 02:55:34
313876,quiet spacious sunny  2 room apt  w view 4.floor l,90,1574908,Entire home/apt,47.000,2017-03-25 23:25:00,2017-03-25 23:25:00
320028,Nice room with ensuite bathroom,2,1625792,Private room,52.000,2012-09-24 15:09:30,2012-09-24 15:09:30
320279,STUDIO NEAR KASTANIENALLE,7,1641541,Entire home/apt,77.000,2013-04-27 21:04:37,2013-04-27 21:04:37
320305,"Berlin Friedrichshain 1,5km to Alex",4,1641505,Private room,38.000,2014-05-24 21:41:57,2014-05-24 21:41:57
321295,Beautiful 1-room apartment,2,1354122,Entire home/apt,45.000,2012-06-16 04:55:34,2012-06-16 04:55:34
321308,Schönes Apartment in Berlin,2,1354122,Entire home/apt,50.000,2012-05-27 23:27:26,2012-05-27 23:27:26
321378,Designer Top-Floor Flat / 2 Roof Terraces in Mitte,1,3062473,Entire home/apt,155.000,2012-02-23 05:15:45,2012-02-23 05:15:45
322463,Great value studio in Prenzlauer Berg. StayBearlin,3,163384,Entire home/apt,93.000,2012-02-11 23:20:06,2012-02-11 23:20:06
322520,Sunny GARDEN apt in Prenzlauer Berg by StayBearlin,3,163384,Entire home/apt,106.000,2012-02-14 13:52:46,2012-02-14 13:52:46
323243,nettes Zweibettzimmer 1.3 (1. Etage),3,1654885,Private room,28.000,2012-02-09 19:21:31,2012-02-09 19:21:31
323250,schickes Zweibettzimmer 1.1  (1. Etage),3,1654885,Private room,28.000,2012-03-16 16:14:18,2012-03-16 16:14:18
