LISTING_ID,LISTING_NAME,LISTING_URL,ROOM_TYPE,MINIMUM_NIGHTS,HOST_ID,PRICE_STR,CREATED_AT,UPDATED_AT
44423,Lovely accommodation in Berlin,https://www.airbnb.com/rooms/44423,Private room,82,194957,$56.00,2010-09-20 04:09:56,2010-09-20 04:09:56
47938,Lovely 2 BR flat in Prenzlauer Berg,https://www.airbnb.com/rooms/47938,Entire home/apt,5,218479,$169.00,2010-09-16 15:06:12,2010-09-16 15:06:12
55853,Hauptstadt-Domizil,https://www.airbnb.com/rooms/55853,Entire home/apt,92,264072,$58.00,2013-03-06 13:26:04,2013-03-06 13:26:04
57049,130 sqm with a view on Mauer Park,https://www.airbnb.com/rooms/57049,Entire home/apt,3,54283,$250.00,2010-11-25 19:02:29,2010-11-25 19:02:29
58041,Apt. in a historic ambience+Wifi from,https://www.airbnb.com/rooms/58041,Entire home/apt,90,145808,$74.00,2012-02-13 18:07:54,2012-02-13 18:07:54
58780,light quiet beautiful 4 room flat,https://www.airbnb.com/rooms/58780,Entire home/apt,5,281614,$124.00,2011-08-24 21:37:21,2011-08-24 21:37:21
64014,"Rooftop apt. w/ grand view, 2 bedrooms,2 bathrooms",https://www.airbnb.com/rooms/64014,Entire home/apt,2,312896,$154.00,2011-09-12 15:35:20,2011-09-12 15:35:20
64245,Room w/ balcony and private bathroom in nice area,https://www.airbnb.com/rooms/64245,Private room,2,312373,$60.00,2011-06-08 17:37:40,2011-06-08 17:37:40
64590,Great apt. w. balcony directly on the canal!,https://www.airbnb.com/rooms/64590,Entire home/apt,6,315681,$118.00,2011-10-08 14:53:09,2011-10-08 14:53:09
68448,Quiet studio in Prenzlauer Berg near Mauerpark,https://www.airbnb.com/rooms/68448,Entire home/apt,3,163384,$100.00,2011-05-27 14:14:46,2011-05-27 14:14:46
72079,"Italian Design at Kudamm ,WiFi DSL free",https://www.airbnb.com/rooms/72079,Entire home/apt,3,261488,$83.00,2013-04-12 13:12:07,2013-04-12 13:12:07
80843,Berlin City Studio Apt.,https://www.airbnb.com/rooms/80843,Entire home/apt,2,437628,$49.00,2011-04-04 10:38:05,2011-04-04 10:38:05
81049,Lux.2BR Apart.Berlin Mitte -Licensed!,https://www.airbnb.com/rooms/81049,Entire home/apt,4,249501,$145.00,2011-05-31 16:44:56,2011-05-31 16:44:56
81081,Beautiful Prenzlauer Berg Apt,https://www.airbnb.com/rooms/81081,Entire home/apt,4,425899,$66.00,2011-04-09 14:24:28,2011-04-09 14:24:28
83614,Spacious Prenzlauer Berg Apartment in Quiet Street,https://www.airbnb.com/rooms/83614,Entire home/apt,1,456085,$204.00,2011-03-29 06:07:06,2011-03-29 06:07:06
85560,Apartment 1 in Berlin,https://www.airbnb.com/rooms/85560,Entire home/apt,3,451311,$79.00,2015-04-18 16:47:49,2015-04-18 16:47:49
86055,Luxury holiday apartment in Berlin,https://www.airbnb.com/rooms/86055,Entire home/apt,60,470146,$90.00,2011-07-19 19:25:35,2011-07-19 19:25:35
86090,spacious and cozy living in PrenzlBerg,https://www.airbnb.com/rooms/86090,Entire home/apt,3,472567,$102.00,2011-05-30 00:27:46,2011-05-30 00:27:46
89102,Bright loft in the Kastanienallee,https://www.airbnb.com/rooms/89102,Entire home/apt,4,485838,$106.00,2011-05-14 12:27:55,2011-05-14 12:27:55
102882,STORAGE APARTMENT URBAN,https://www.airbnb.com/rooms/102882,Entire home/apt,3,86173,$521.00,2011-06-06 01:55:30,2011-06-06 01:55:30
103602,Fabulous Room in Berlin's cultural centre,https://www.airbnb.com/rooms/103602,Private room,4,422837,$61.00,2012-02-07 00:14:03,2012-02-07 00:14:03
111579,IN THE CENTER OF BERLIN.....,https://www.airbnb.com/rooms/111579,Entire home/apt,5,570951,$75.00,2011-10-23 04:26:52,2011-10-23 04:26:52
114763,In the heart of Berlin!,https://www.airbnb.com/rooms/114763,Entire home/apt,3,582007,$135.00,2012-12-12 03:13:20,2012-12-12 03:13:20
115576,Bed and Garden,https://www.airbnb.com/rooms/115576,Entire home/apt,2,584750,$75.00,2013-08-20 22:27:26,2013-08-20 22:27:26
116832,Clean & Spacious Kreuzberg Apt,https://www.airbnb.com/rooms/116832,Entire home/apt,21,590130,$70.00,2014-07-19 04:18:26,2014-07-19 04:18:26
117649,F43 - your base for Berlin,https://www.airbnb.com/rooms/117649,Entire home/apt,92,594164,$68.00,2011-06-09 15:19:03,2011-06-09 15:19:03
127708,Design Jewel in the midst of MITTE!,https://www.airbnb.com/rooms/127708,Entire home/apt,2,632174,$73.00,2011-10-30 14:34:35,2011-10-30 14:34:35
128827,Gorgeous Home in the Heart of East Berlin,https://www.airbnb.com/rooms/128827,Entire home/apt,7,632971,$59.00,2015-04-02 14:49:29,2015-04-02 14:49:29
135097,Near KaDeWe & Kurfürstendamm,https://www.airbnb.com/rooms/135097,Entire home/apt,1,662534,$115.00,2011-07-09 10:10:17,2011-07-09 10:10:17
143605,""" Berlin Fuffa's 40m2  apartment """,https://www.airbnb.com/rooms/143605,Entire home/apt,60,696492,$40.00,2011-08-16 03:58:44,2011-08-16 03:58:44
145249,Private Wing of Penthouse - Terrace,https://www.airbnb.com/rooms/145249,Private room,2,1853661,$70.00,2012-08-06 06:26:11,2012-08-06 06:26:11
147339,LOVELY APARTMENT - CENTRAL - QUIET,https://www.airbnb.com/rooms/147339,Entire home/apt,3,712073,$50.00,2011-08-04 18:29:36,2011-08-04 18:29:36
147946,1-room-flat in Prenzlauer Berg/WIFI,https://www.airbnb.com/rooms/147946,Entire home/apt,183,712973,$28.00,2011-09-21 04:16:23,2011-09-21 04:16:23
151249,"Quiet, Terrasse, cats, baby equiped",https://www.airbnb.com/rooms/151249,Entire home/apt,10,728298,$80.00,2015-09-14 01:53:15,2015-09-14 01:53:15
156010,TWO ROOM APARTMENT ALEXANDERPLATZ,https://www.airbnb.com/rooms/156010,Entire home/apt,90,750165,$36.00,2011-06-29 07:42:38,2011-06-29 07:42:38
157839,1 room in typical berlin-style apt. for dog lovers,https://www.airbnb.com/rooms/157839,Private room,1,671536,$35.00,2011-11-06 15:41:32,2011-11-06 15:41:32
159454,"Bright, Charming and Modern Altbau",https://www.airbnb.com/rooms/159454,Entire home/apt,2,499725,$161.00,2012-08-13 03:01:39,2012-08-13 03:01:39
162111,"Sunny, cosy room + holland bicycle!",https://www.airbnb.com/rooms/162111,Private room,5,775103,$42.00,2011-09-09 22:56:05,2011-09-09 22:56:05
163411,Ample parkside apartment Kreuzberg,https://www.airbnb.com/rooms/163411,Entire home/apt,5,779213,$110.00,2011-12-25 23:13:28,2011-12-25 23:13:28
164475,Sunny Room in Beautiful Apartment in Kreuzberg,https://www.airbnb.com/rooms/164475,Private room,7,784423,$45.00,2014-02-16 17:28:53,2014-02-16 17:28:53
168615,STAYINTOWN - Apartment in Berlin,https://www.airbnb.com/rooms/168615,Entire home/apt,2,803717,$49.00,2012-07-03 11:07:07,2012-07-03 11:07:07
169907,Cozy Berlin nest with great access,https://www.airbnb.com/rooms/169907,Private room,1,809715,$30.00,2015-07-23 05:04:54,2015-07-23 05:04:54
170652,2-room apartment. Mauerpark TOP!,https://www.airbnb.com/rooms/170652,Private room,5,814026,$50.00,2012-07-18 23:44:41,2012-07-18 23:44:41
173153,Beautiful flat 95m² in Berlin Mitte,https://www.airbnb.com/rooms/173153,Entire home/apt,2,826546,$80.00,2011-09-08 11:15:18,2011-09-08 11:15:18
174391,BERLIN The most central!,https://www.airbnb.com/rooms/174391,Private room,1,833209,$42.00,2016-04-25 04:46:58,2016-04-25 04:46:58
174547,Berlin City Apartment 1with WiFi,https://www.airbnb.com/rooms/174547,Entire home/apt,90,833995,$103.00,2011-11-18 00:14:57,2011-11-18 00:14:57
174560,"2 apartment in Berlin Center, WiFi",https://www.airbnb.com/rooms/174560,Entire home/apt,60,833995,$78.00,2012-05-14 07:57:47,2012-05-14 07:57:47
174576,Berlin City Suite 3 mit W-Lan,https://www.airbnb.com/rooms/174576,Entire home/apt,60,833995,$103.00,2012-01-28 06:36:46,2012-01-28 06:36:46
174579,Berlin City Studio 4 mit W-Lan,https://www.airbnb.com/rooms/174579,Entire home/apt,60,833995,$78.00,2012-01-16 19:46:19,2012-01-16 19:46:19
175667,"calm, sunny and central apartment",https://www.airbnb.com/rooms/175667,Entire home/apt,180,839532,$39.00,2011-11-09 07:34:08,2011-11-09 07:34:08
176342,11C Landmark/Checkpoint Charlie/120m2/2BATH/3BR,https://www.airbnb.com/rooms/176342,Entire home/apt,3,843326,$194.00,2013-12-19 08:05:13,2013-12-19 08:05:13
176355,11A Landmark/Checkpoint Charlie/110m2/2BATH/2BR,https://www.airbnb.com/rooms/176355,Entire home/apt,3,843326,$190.00,2011-12-10 11:31:07,2011-12-10 11:31:07
176396,Quiet room direct to metro station,https://www.airbnb.com/rooms/176396,Private room,1,843558,$21.00,2016-12-04 10:46:38,2016-12-04 10:46:38
176852,Big & sunny apartment in Kreuzberg,https://www.airbnb.com/rooms/176852,Entire home/apt,3,845790,$70.00,2015-09-12 04:40:45,2015-09-12 04:40:45
178347,Design Apartment Berlin Neukölln,https://www.airbnb.com/rooms/178347,Entire home/apt,2,853446,$76.00,2011-10-12 15:54:27,2011-10-12 15:54:27
179102,"registered, legal hughe penthouse for 1-2 families",https://www.airbnb.com/rooms/179102,Entire home/apt,2,857327,$170.00,2011-12-24 08:22:09,2011-12-24 08:22:09
180440,CITY STUDIO WEST@ Kurfürstendamm(monthly discount),https://www.airbnb.com/rooms/180440,Entire home/apt,92,864399,$43.00,2012-07-21 16:02:02,2012-07-21 16:02:02
183988,Luxury Ku'damm Studio +  Bikes 4you,https://www.airbnb.com/rooms/183988,Entire home/apt,2,882801,$78.00,2012-01-04 20:09:51,2012-01-04 20:09:51
185960,bright and large furnished room,https://www.airbnb.com/rooms/185960,Private room,7,893191,$29.00,2011-08-16 20:40:11,2011-08-16 20:40:11
186663,Apartment Berlin TW Mexikoplatz,https://www.airbnb.com/rooms/186663,Entire home/apt,122,897302,$90.00,2012-04-10 04:52:10,2012-04-10 04:52:10
186851,"CasaKaiser, 2 room apartment",https://www.airbnb.com/rooms/186851,Entire home/apt,92,898345,$33.00,2012-05-31 13:42:07,2012-05-31 13:42:07
188922,Stay in Prenzlauerberg Berlin !,https://www.airbnb.com/rooms/188922,Entire home/apt,28,910884,$45.00,2011-09-24 17:30:16,2011-09-24 17:30:16
189288,Townhouse Altenescher Weg,https://www.airbnb.com/rooms/189288,Entire home/apt,3,907038,$105.00,2012-04-07 00:29:29,2012-04-07 00:29:29
189596,Mitte Miniloft apartment w. terrace,https://www.airbnb.com/rooms/189596,Entire home/apt,4,914711,$80.00,2011-09-01 12:18:12,2011-09-01 12:18:12
190448,Modernes Studioapartment Berlin,https://www.airbnb.com/rooms/190448,Entire home/apt,2,920085,$52.00,2012-06-25 00:40:44,2012-06-25 00:40:44
191023,2-Room-Apartment in Berlin-Mitte,https://www.airbnb.com/rooms/191023,Private room,1,923408,$55.00,2014-06-19 05:40:57,2014-06-19 05:40:57
192050,Perfect for 5 + WLAN near (URL HIDDEN),https://www.airbnb.com/rooms/192050,Entire home/apt,183,929861,$48.00,2011-12-27 16:16:42,2011-12-27 16:16:42
192499,Franks kleines Museum,https://www.airbnb.com/rooms/192499,Private room,2,868282,$46.00,2011-08-11 19:54:42,2011-08-11 19:54:42
193601,"Well located, cozy 2 rooms apartment, all close by",https://www.airbnb.com/rooms/193601,Entire home/apt,3,939230,$75.00,2021-11-05 21:09:27,2021-11-05 21:09:27
194374,Cottage in the city with garden,https://www.airbnb.com/rooms/194374,Entire home/apt,3,943996,$65.00,2012-01-05 19:54:30,2012-01-05 19:54:30
194465,Beautiful Loft-Studio with garden,https://www.airbnb.com/rooms/194465,Entire home/apt,3,944530,$75.00,2011-10-11 12:51:22,2011-10-11 12:51:22
195413,Residential floor space in Mexicopl,https://www.airbnb.com/rooms/195413,Entire home/apt,183,897302,$230.00,2012-10-28 23:01:47,2012-10-28 23:01:47
197291,"App. w garden, firepl. a. whirlpool",https://www.airbnb.com/rooms/197291,Entire home/apt,7,1311026,$119.00,2011-08-19 13:08:53,2011-08-19 13:08:53
197850,Central Location Prenzlauer Berg,https://www.airbnb.com/rooms/197850,Entire home/apt,3,964971,$89.00,2011-09-15 15:37:22,2011-09-15 15:37:22
198239,Fanstastic Studio Loft in Kreuzberg,https://www.airbnb.com/rooms/198239,Entire home/apt,3,868242,$76.00,2013-06-11 19:38:34,2013-06-11 19:38:34
198584,"Oriental Style Room, Kudamm / Zoo",https://www.airbnb.com/rooms/198584,Private room,7,969532,$42.00,2015-01-30 18:14:14,2015-01-30 18:14:14
200125,TOP apartment in art nouveau villa,https://www.airbnb.com/rooms/200125,Entire home/apt,60,977942,$89.00,2021-11-10 21:19:24,2021-11-10 21:19:24
205296,4* apartment in quiet south Berlin,https://www.airbnb.com/rooms/205296,Entire home/apt,5,1009105,$100.00,2019-08-31 04:26:15,2019-08-31 04:26:15
206021,"Nice sunny room ,Central area...you",https://www.airbnb.com/rooms/206021,Private room,14,467895,$35.00,2018-06-24 00:17:13,2018-06-24 00:17:13
206454,Design Apartment in Mitte next to Weinbergspark,https://www.airbnb.com/rooms/206454,Entire home/apt,3,358915,$120.00,2012-04-07 20:06:12,2012-04-07 20:06:12
207740,Schicke Garten-Maisonette in Kreuzberg,https://www.airbnb.com/rooms/207740,Entire home/apt,7,1022663,$195.00,2017-08-03 23:00:29,2017-08-03 23:00:29
208495,CENTRAL VINTAGE-MODERN FLAT,https://www.airbnb.com/rooms/208495,Entire home/apt,2,965569,$150.00,2021-11-08 14:47:35,2021-11-08 14:47:35
209649,Berlin Center – Charlottenburg Wilmersdorf,https://www.airbnb.com/rooms/209649,Private room,7,1033300,$42.00,2011-08-26 20:29:04,2011-08-26 20:29:04
210734,VERY CENTRAL AND COSY,https://www.airbnb.com/rooms/210734,Entire home/apt,3,1039350,$175.00,2011-09-12 16:29:12,2011-09-12 16:29:12
212348,3 Zimmer mit Balkon im schönen Friedrichshain,https://www.airbnb.com/rooms/212348,Entire home/apt,2,1095251,$123.00,2019-09-01 03:14:11,2019-09-01 03:14:11
212470,furnished room in beautiful old app,https://www.airbnb.com/rooms/212470,Private room,5,1095682,$40.00,2018-07-03 15:17:46,2018-07-03 15:17:46
214491,"enchanting room in the centre,",https://www.airbnb.com/rooms/214491,Private room,3,1107206,$35.00,2011-11-26 21:05:50,2011-11-26 21:05:50
214518,Chimaysaberlin B&B Front Double Bed,https://www.airbnb.com/rooms/214518,Private room,1,156897,$38.00,2012-09-15 05:40:21,2012-09-15 05:40:21
220445,Apt. Near Charlottenburg Palace,https://www.airbnb.com/rooms/220445,Entire home/apt,30,1142834,$45.00,2013-04-22 23:40:45,2013-04-22 23:40:45
221015,clean calm cosy central Berlin Wedding apartment,https://www.airbnb.com/rooms/221015,Entire home/apt,4,1146238,$75.00,2011-09-28 08:33:05,2011-09-28 08:33:05
222784,"Quiet-central-balcony-WiFi, (min 30 days)",https://www.airbnb.com/rooms/222784,Entire home/apt,30,1156924,$37.00,2011-12-06 18:55:53,2011-12-06 18:55:53
223622,1 bedroom in Berlin Friedrichshain,https://www.airbnb.com/rooms/223622,Entire home/apt,2,913422,$45.00,2012-12-31 00:29:07,2012-12-31 00:29:07
226108,Homely flat in the heart of Berlin,https://www.airbnb.com/rooms/226108,Entire home/apt,30,1178780,$70.00,2012-04-29 10:38:23,2012-04-29 10:38:23
229099,Nice room near airport Berlin BER,https://www.airbnb.com/rooms/229099,Private room,1,1196119,$35.00,2012-01-24 06:12:46,2012-01-24 06:12:46
229348,Excl. Studio A Mitte/Hansaviertel,https://www.airbnb.com/rooms/229348,Entire home/apt,5,1195177,$79.00,2011-10-20 13:46:14,2011-10-20 13:46:14
229363,Excl. Studio B Mitte/Hansaviertel,https://www.airbnb.com/rooms/229363,Entire home/apt,5,1195177,$79.00,2012-11-10 13:53:14,2012-11-10 13:53:14
229776,Cosy room in Mitte / Rosenthaler Platz,https://www.airbnb.com/rooms/229776,Private room,3,956350,$43.00,2011-09-22 21:21:25,2011-09-22 21:21:25
230411,Wonderful Room in Hip Kreuzberg!!,https://www.airbnb.com/rooms/230411,Private room,3,1204085,$40.00,2011-09-19 07:00:10,2011-09-19 07:00:10
230611,4 bedroom holiday house Berlin,https://www.airbnb.com/rooms/230611,Entire home/apt,90,1205340,$80.00,2012-10-13 13:14:24,2012-10-13 13:14:24
233083,2-bed-loft-dwelling designers flat,https://www.airbnb.com/rooms/233083,Entire home/apt,10,1219893,$98.00,2011-12-23 14:54:51,2011-12-23 14:54:51
233453,Pretty room in Neukölln/Sonnenallee,https://www.airbnb.com/rooms/233453,Private room,2,1221935,$32.00,2011-11-25 03:48:19,2011-11-25 03:48:19
233770,Holiday apartment in Berlin's Green,https://www.airbnb.com/rooms/233770,Entire home/apt,3,1224097,$59.00,2014-03-01 07:53:52,2014-03-01 07:53:52
236509,"Berlin City Center, Great Vista",https://www.airbnb.com/rooms/236509,Entire home/apt,120,1240004,$82.00,2011-10-06 09:53:16,2011-10-06 09:53:16
237372,"Ferien an der Kastanienallee, 2 bedroom",https://www.airbnb.com/rooms/237372,Entire home/apt,3,1244828,$84.00,2012-04-07 23:05:29,2012-04-07 23:05:29
237670,Apartment Burde 2,https://www.airbnb.com/rooms/237670,Entire home/apt,3,920085,$45.00,2015-10-02 07:25:38,2015-10-02 07:25:38
238396,"Within the city, calm and leafy",https://www.airbnb.com/rooms/238396,Entire home/apt,3,1250154,$80.00,2011-11-03 13:30:58,2011-11-03 13:30:58
239139,"Central, Berlin Mitte,  2room, furnished, balcony",https://www.airbnb.com/rooms/239139,Entire home/apt,92,1254352,$47.00,2011-10-26 07:36:01,2011-10-26 07:36:01
240169,"Berlin, Neukölln, Room B",https://www.airbnb.com/rooms/240169,Private room,3,1259589,$22.00,2016-01-30 02:58:09,2016-01-30 02:58:09
242794,Elegant renovated apartment 72 m2,https://www.airbnb.com/rooms/242794,Entire home/apt,4,1274606,$110.00,2012-04-10 06:17:11,2012-04-10 06:17:11
242908,Holiday Apartment in Berlin Wannsee with balcony,https://www.airbnb.com/rooms/242908,Entire home/apt,5,1275359,$75.00,2021-10-24 17:51:46,2021-10-24 17:51:46
242978,Exclusive one-bedroom apartment,https://www.airbnb.com/rooms/242978,Entire home/apt,2,1275576,$59.00,2012-12-19 05:41:22,2012-12-19 05:41:22
243057,"rooftop-apartement ""Blueberry Hill""  Berlin center",https://www.airbnb.com/rooms/243057,Entire home/apt,2,1275795,$204.00,2015-03-25 11:22:01,2015-03-25 11:22:01
243063,Holiday apartment in Berlin Mitte,https://www.airbnb.com/rooms/243063,Entire home/apt,1,1275846,$101.00,2012-06-30 04:25:56,2012-06-30 04:25:56
243081,"Living with style, apartment 2",https://www.airbnb.com/rooms/243081,Entire home/apt,1,1275846,$101.00,2012-05-06 09:20:55,2012-05-06 09:20:55
243238,Blue Jewel in Green Borough,https://www.airbnb.com/rooms/243238,Entire home/apt,2,1276585,$68.00,2015-02-12 19:11:29,2015-02-12 19:11:29
245744,Apartment in central Berlin,https://www.airbnb.com/rooms/245744,Entire home/apt,4,1289259,$149.00,2012-02-07 17:06:37,2012-02-07 17:06:37
245781,1-room FewWo near Alexanderplatz,https://www.airbnb.com/rooms/245781,Entire home/apt,2,1289393,$70.00,2012-02-19 07:51:30,2012-02-19 07:51:30
245809,2-bedroom apartment Prenzlauer Berg,https://www.airbnb.com/rooms/245809,Entire home/apt,4,1289393,$90.00,2012-07-01 01:30:17,2012-07-01 01:30:17
245827,2-bedroom apartment Gendarmenmarkt,https://www.airbnb.com/rooms/245827,Entire home/apt,30,1289393,$93.00,2012-11-07 22:07:23,2012-11-07 22:07:23
245991,World stroller's club 2,https://www.airbnb.com/rooms/245991,Entire home/apt,30,1290112,$25.00,2013-09-21 15:17:32,2013-09-21 15:17:32
246007,World stroller's club 1,https://www.airbnb.com/rooms/246007,Entire home/apt,30,1290112,$21.00,2012-09-04 15:10:44,2012-09-04 15:10:44
248375,Culture and shopping,https://www.airbnb.com/rooms/248375,Private room,1,1301421,$66.00,2012-05-10 19:51:06,2012-05-10 19:51:06
250007,Exotic holiday apartment in Berlin,https://www.airbnb.com/rooms/250007,Entire home/apt,2,1310272,$59.00,2012-07-22 17:06:30,2012-07-22 17:06:30
250015,Business Apartment am KaDeWe,https://www.airbnb.com/rooms/250015,Entire home/apt,63,1310277,$70.00,2014-06-08 19:37:36,2014-06-08 19:37:36
250023,Family- Apartment am KaDeWe 2,https://www.airbnb.com/rooms/250023,Entire home/apt,22,1310277,$51.00,2012-04-20 03:59:25,2012-04-20 03:59:25
250030,Quiet city centre Studio Apartment,https://www.airbnb.com/rooms/250030,Entire home/apt,90,1310277,$45.00,2012-10-07 16:42:59,2012-10-07 16:42:59
250121,Cosy single room,https://www.airbnb.com/rooms/250121,Private room,3,1310755,$54.00,2012-06-20 20:54:57,2012-06-20 20:54:57
250138,Nice double room,https://www.airbnb.com/rooms/250138,Private room,3,1310755,$63.00,2012-01-05 12:00:36,2012-01-05 12:00:36
250171,Great Double bedroom,https://www.airbnb.com/rooms/250171,Private room,3,1310755,$60.00,2012-07-04 07:40:47,2012-07-04 07:40:47
250253,Apartment: Luise in Berlin,https://www.airbnb.com/rooms/250253,Entire home/apt,3,1311309,$102.00,2014-06-11 00:27:43,2014-06-11 00:27:43
250376,Enchanting 142m²(1530 ft²)  Loft/Room in F'Hain,https://www.airbnb.com/rooms/250376,Private room,1,1312190,$200.00,2011-12-26 23:49:48,2011-12-26 23:49:48
250684,Lovely four bedroom,https://www.airbnb.com/rooms/250684,Private room,3,1310755,$94.00,2012-08-11 16:09:24,2012-08-11 16:09:24
250687,Apollo Apartments 1,https://www.airbnb.com/rooms/250687,Entire home/apt,3,1310866,$60.00,2012-06-25 11:29:32,2012-06-25 11:29:32
250704,Holiday Apartment with Garden,https://www.airbnb.com/rooms/250704,Entire home/apt,6,1314462,$62.00,2014-04-14 09:09:23,2014-04-14 09:09:23
250707,Apartment: Friederike in Berlin,https://www.airbnb.com/rooms/250707,Entire home/apt,3,1311309,$62.00,2013-07-05 08:18:56,2013-07-05 08:18:56
250729,Apartment: Grazer Gärten in Berlin,https://www.airbnb.com/rooms/250729,Entire home/apt,3,1311309,$88.00,2017-03-04 19:40:47,2017-03-04 19:40:47
250753,Apartment: Großer Kurfürst,https://www.airbnb.com/rooms/250753,Entire home/apt,3,1311309,$102.00,2017-12-17 00:46:55,2017-12-17 00:46:55
250871,Big 1-room-apartment!,https://www.airbnb.com/rooms/250871,Entire home/apt,5,386940,$63.00,2014-06-17 06:30:41,2014-06-17 06:30:41
251398,Modern Room in a nice Environment,https://www.airbnb.com/rooms/251398,Private room,1,1318500,$40.00,2012-06-22 04:16:01,2012-06-22 04:16:01
252933,Room vibrant but cozy Schoeneberg,https://www.airbnb.com/rooms/252933,Private room,2,1328204,$25.00,2012-09-19 09:09:54,2012-09-19 09:09:54
252967,Pension am Traveplatz Zimmer 1,https://www.airbnb.com/rooms/252967,Private room,2,1328326,$35.00,2012-04-19 10:17:32,2012-04-19 10:17:32
