status_id,race_id,driver_id,constructor_id,result_id,grid,position_order,points,laps,fastest_lap_time,fastest_lap_speed,lap_time,lap_milliseconds,lap_number,fastest_lap,position,rank,status_desc,position_desc
20,26,18,11,183,17,15,0.0,38,1:33.376,198.205,,,16,21,,10,Spun off,retired
20,26,12,4,184,7,16,0.0,35,1:33.203,198.573,,,6,21,,7,Spun off,retired
20,26,21,10,185,19,17,0.0,16,1:34.930,194.96,,,21,21,,17,Spun off,retired
20,26,16,10,186,18,18,0.0,10,1:38.160,188.545,,,20,5,,18,Spun off,retired
4,26,20,5,187,8,19,0.0,0,,,,,15,,,,Collision,retired
4,26,14,9,188,11,20,0.0,0,,,,,9,,,,Collision,retired
4,27,22,11,206,18,18,0.0,50,1:17.986,211.145,,,17,30,,19,Collision,retired
5,27,17,9,207,8,19,0.0,40,1:17.206,213.278,,,10,20,,14,Engine,retired
22,27,10,7,208,11,20,0.0,35,1:16.712,214.652,,,12,24,,7,Suspension,retired
23,28,16,10,227,20,19,0.0,62,1:23.650,188.542,,,20,29,,19,Brakes,retired
25,28,20,5,228,11,20,0.0,22,1:24.222,187.262,,,15,17,,20,Overheating,retired
5,29,8,6,246,4,18,0.0,45,1:39.424,196.214,,,1,34,,5,Engine,retired
3,29,16,10,247,20,19,0.0,41,1:40.661,193.802,,,20,28,,17,Accident,retired
4,29,4,4,248,12,20,0.0,0,,,,,5,,,,Collision,retired
6,30,22,11,267,16,19,0.0,19,1:52.072,224.983,,,17,10,,20,Gearbox,retired
20,30,12,4,268,12,20,0.0,13,1:51.118,226.915,,,6,12,,18,Spun off,retired
3,31,21,10,288,12,20,0.0,11,1:37.304,214.326,,,21,6,,20,Accident,retired
9,32,15,7,304,11,16,0.0,50,1:46.972,170.523,,,11,32,,7,Hydraulics,retired
3,32,16,10,305,19,17,0.0,49,1:49.270,166.936,,,20,38,,18,Accident,retired
7,32,17,9,306,13,18,0.0,29,1:49.183,167.069,,,10,13,,17,Transmission,retired
26,32,22,11,307,18,19,0.0,14,1:50.320,165.348,,,17,13,,19,Mechanical,retired
3,32,12,4,308,16,20,0.0,13,1:50.449,165.154,,,6,13,,20,Accident,retired
6,33,21,10,324,20,16,0.0,21,1:21.577,201.365,,,21,20,,19,Gearbox,retired
5,33,5,1,325,3,17,0.0,16,1:19.258,207.257,,,23,12,,5,Engine,retired
27,33,16,10,326,19,18,0.0,8,1:21.189,202.327,,,20,6,,18,Tyre,retired
28,33,10,7,327,8,19,0.0,6,1:20.254,204.685,,,12,4,,14,Driver Seat,retired
4,33,14,9,328,11,20,0.0,0,,,,,9,,,,Collision,retired
9,34,5,1,346,5,18,0.0,49,1:37.302,201.677,,,23,32,,11,Hydraulics,retired
5,34,16,10,347,19,19,0.0,13,1:39.683,196.86,,,20,13,,19,Engine,retired
4,34,15,7,348,7,20,0.0,2,2:39.612,122.945,,,11,2,,20,Collision,retired
3,35,12,4,367,11,19,0.0,0,,,,,6,,,,Accident,retired
4,35,14,9,368,14,20,0.0,0,,,,,9,,,,Collision,retired
4,36,25,3,386,15,18,0.0,48,1:28.303,216.196,,,17,24,,16,Collision,retired
4,36,14,9,387,18,19,0.0,48,1:27.706,217.668,,,14,44,,11,Collision,retired
6,36,9,2,388,5,20,0.0,36,1:26.642,220.341,,,10,19,,4,Gearbox,retired
29,36,26,5,389,17,21,0.0,28,1:28.953,214.616,,,19,22,,21,Puncture,retired
3,36,27,12,390,21,22,0.0,10,1:30.899,210.022,,,21,9,,22,Accident,retired
9,37,3,3,409,6,19,0.0,42,1:37.704,204.237,,,16,18,,6,Hydraulics,retired
23,37,14,9,410,13,20,0.0,36,1:38.098,203.416,,,14,28,,11,Brakes,retired
5,37,27,12,411,20,21,0.0,7,1:41.495,196.608,,,21,5,,21,Engine,retired
4,37,16,12,412,21,22,0.0,0,,,,,20,,,,Collision,retired
6,38,17,9,429,8,17,0.0,41,1:35.705,203.575,,,15,37,,12,Gearbox,retired
30,38,14,9,430,21,18,0.0,36,1:35.384,204.26,,,14,34,,9,Driveshaft,retired
5,38,11,8,431,17,19,0.0,34,1:36.359,202.193,,,22,23,,18,Engine,retired
9,38,24,5,432,18,20,0.0,26,1:35.723,203.537,,,18,23,,13,Hydraulics,retired
4,38,18,11,433,16,21,0.0,0,,,,,7,,,,Collision,retired
4,38,26,5,434,19,22,0.0,0,,,,,19,,,,Collision,retired
6,39,2,2,449,7,15,0.0,46,1:23.483,200.735,,,9,22,,7,Gearbox,retired
22,39,23,7,450,17,16,0.0,44,1:24.003,199.492,,,11,37,,11,Suspension,retired
31,39,24,5,451,16,17,0.0,19,1:25.207,196.673,,,18,18,,17,Retired,retired
27,39,26,5,452,22,18,0.0,9,1:26.238,194.322,,,19,6,,20,Tyre,retired
22,39,8,6,453,3,19,0.0,9,1:23.475,200.754,,,6,7,,6,Suspension,retired
32,39,15,7,454,6,20,0.0,8,1:26.094,194.647,,,12,6,,19,Fuel pressure,retired
9,39,17,9,455,19,21,0.0,7,1:26.323,194.131,,,15,4,,21,Hydraulics,retired
4,39,25,3,456,18,22,0.0,1,,,,,17,,,,Collision,retired
3,40,16,12,476,19,20,0.0,53,1:17.678,154.792,,,20,34,,19,Accident,retired
6,40,17,9,477,6,21,0.0,17,1:18.998,152.206,,,15,17,,21,Gearbox,retired
3,40,24,5,478,12,22,0.0,2,,,,,18,,,,Accident,retired
3,41,15,7,491,10,13,0.0,58,1:19.092,198.497,,,12,12,,17,Accident,retired
3,41,24,5,492,12,14,0.0,54,1:19.375,197.79,,,18,9,,19,Accident,retired
33,41,27,12,493,21,15,0.0,47,1:19.254,198.092,,,21,21,,18,Front wing,retired
6,41,14,9,494,14,16,0.0,36,1:18.981,198.776,,,14,19,,16,Gearbox,retired
3,41,9,2,495,8,17,0.0,26,1:17.529,202.499,,,10,19,,8,Accident,retired
3,41,16,12,496,20,18,0.0,21,1:19.452,197.598,,,20,20,,20,Accident,retired
3,41,26,5,497,16,19,0.0,8,1:20.092,196.019,,,19,6,,21,Accident,retired
6,41,18,11,498,15,20,0.0,0,,,,,7,,,,Gearbox,retired
2,41,13,6,499,5,21,0.0,51,1:16.849,204.291,,,5,22,,4,Disqualified,disqualified
2,41,21,4,500,9,22,0.0,51,1:17.411,202.808,,,3,22,,7,Disqualified,disqualified
7,42,2,2,518,5,18,0.0,56,1:13.414,205.562,,,9,20,,5,Transmission,retired
20,42,11,8,519,18,19,0.0,13,1:16.680,196.807,,,22,8,,19,Spun off,retired
4,42,14,9,520,11,20,0.0,0,,,,,14,,,,Collision,retired
4,42,22,11,521,15,21,0.0,0,,,,,8,,,,Collision,retired
4,42,23,7,522,12,22,0.0,0,,,,,11,,,,Collision,retired
6,43,26,5,540,15,18,0.0,55,1:17.934,203.757,,,19,51,,17,Gearbox,retired
35,43,27,12,541,20,19,0.0,28,1:18.955,201.122,,,21,27,,19,Refuelling,retired
4,43,19,8,542,19,20,0.0,1,,,,,23,,,,Collision,retired
4,43,15,7,543,8,21,0.0,1,,,,,12,,,,Collision,retired
4,43,24,5,544,17,22,0.0,0,,,,,18,,,,Collision,retired
31,44,15,7,561,10,17,0.0,43,1:23.708,221.097,,,12,17,,18,Retired,retired
26,44,19,8,562,19,18,0.0,35,1:24.144,219.951,,,23,26,,20,Mechanical,retired
3,44,26,5,563,15,19,0.0,29,1:23.570,221.462,,,19,19,,15,Accident,retired
36,44,23,7,564,6,20,0.0,22,1:22.510,224.307,,,11,12,,8,Wheel,retired
5,44,16,12,565,20,21,0.0,16,1:25.015,217.698,,,20,16,,22,Engine,retired
9,44,17,9,566,11,22,0.0,8,1:23.767,220.941,,,15,6,,19,Hydraulics,retired
9,45,8,6,580,1,14,0.0,34,1:33.904,197.359,,,6,32,,4,Hydraulics,retired
31,45,11,8,581,16,15,0.0,19,1:37.401,190.273,,,22,18,,16,Retired,retired
4,45,23,7,582,9,16,0.0,18,1:36.195,192.658,,,11,18,,15,Collision,retired
9,45,28,12,583,22,17,0.0,13,1:42.783,180.309,,,21,13,,17,Hydraulics,retired
20,45,18,11,584,17,18,0.0,2,2:20.041,132.338,,,7,2,,18,Spun off,retired
20,45,16,12,585,21,19,0.0,2,2:25.798,127.112,,,20,2,,19,Spun off,retired
20,45,3,3,586,11,20,0.0,2,2:50.950,108.41,,,16,2,,20,Spun off,retired
20,45,26,5,587,18,21,0.0,2,3:01.900,101.884,,,19,2,,21,Spun off,retired
20,45,24,5,588,19,22,0.0,2,3:22.300,91.61,,,18,2,,22,Spun off,retired
10,46,24,5,607,16,19,0.0,42,1:22.410,191.379,,,18,35,,20,Electrical,retired
3,46,19,8,608,15,20,0.0,41,1:22.166,191.948,,,23,39,,18,Accident,retired
37,46,18,11,609,17,21,0.0,35,1:22.906,190.234,,,7,25,,21,Throttle,retired
3,46,29,12,610,22,22,0.0,4,1:26.741,181.824,,,21,4,,22,Accident,retired
9,47,17,9,632,12,22,0.0,9,1:30.808,211.62,,,15,4,,21,Hydraulics,retired
22,48,13,6,653,3,21,0.0,10,1:23.971,248.357,,,5,8,,6,Suspension,retired
3,48,14,9,654,20,22,0.0,1,,,,,14,,,,Accident,retired
9,49,18,11,672,12,18,0.0,36,1:51.141,226.868,,,7,22,,16,Hydraulics,retired
32,49,25,3,673,15,19,0.0,34,1:51.270,226.605,,,17,18,,18,Fuel pressure,retired
9,49,14,9,674,11,20,0.0,29,1:51.156,226.837,,,14,24,,17,Hydraulics,retired
38,49,20,5,675,16,21,0.0,8,1:52.724,223.682,,,19,4,,21,Steering,retired
22,49,21,4,676,22,22,0.0,1,,,,,3,,,,Suspension,retired
29,50,23,7,692,15,16,0.0,55,1:30.865,180.782,,,11,33,,14,Puncture,retired
37,50,19,8,693,19,17,0.0,54,1:31.803,178.935,,,23,27,,17,Throttle,retired
40,50,3,3,694,16,18,0.0,49,1:29.926,182.67,,,16,27,,10,Electronics,retired
4,50,20,5,695,8,19,0.0,46,1:29.057,184.452,,,19,31,,5,Collision,retired
4,50,17,9,696,7,20,0.0,45,1:28.940,184.695,,,15,30,,3,Collision,retired
3,50,4,1,697,2,21,0.0,41,1:28.511,185.59,,,1,25,,2,Accident,retired
4,50,25,3,698,18,22,0.0,19,2:05.636,130.749,,,17,19,,22,Collision,retired
9,51,9,2,716,9,18,0.0,33,1:40.926,194.435,,,10,32,,18,Hydraulics,retired
20,51,1,1,717,1,19,0.0,30,1:43.131,190.278,,,2,22,,19,Spun off,retired
20,51,23,7,718,6,20,0.0,25,1:44.062,188.576,,,11,25,,20,Spun off,retired
3,51,16,12,719,21,21,0.0,24,1:47.603,182.37,,,20,22,,21,Accident,retired
23,51,19,8,720,14,22,0.0,11,1:51.765,175.579,,,23,9,,22,Brakes,retired
23,52,16,12,735,21,15,0.0,43,1:15.202,206.276,,,20,13,,20,Brakes,retired
5,52,22,11,736,11,16,0.0,40,1:14.742,207.545,,,8,32,,17,Engine,retired
3,52,5,4,737,17,17,0.0,35,1:14.891,207.133,,,4,31,,18,Accident,retired
9,52,20,5,738,13,18,0.0,34,1:14.423,208.435,,,19,18,,16,Hydraulics,retired
5,52,18,11,739,16,19,0.0,20,1:14.039,209.516,,,7,20,,12,Engine,retired
6,52,17,9,740,5,20,0.0,14,1:14.398,208.505,,,15,13,,15,Gearbox,retired
4,52,29,12,741,22,21,0.0,2,1:50.404,140.505,,,21,2,,21,Collision,retired
4,52,21,4,742,12,22,0.0,2,2:02.680,126.446,,,3,2,,22,Collision,retired
26,53,34,8,761,21,19,0.0,35,1:38.302,198.197,,,23,11,,21,Mechanical,retired
5,53,35,2,762,11,20,0.0,29,1:33.694,207.945,,,17,20,,13,Engine,retired
9,53,21,4,763,9,21,0.0,21,1:34.320,206.564,,,2,15,,17,Hydraulics,retired
30,53,27,13,764,18,22,0.0,0,,,,,19,,,,Driveshaft,retired
5,54,2,2,779,11,15,0.0,48,1:35.751,208.403,,,16,41,,7,Engine,retired
8,54,26,5,780,12,16,0.0,41,1:37.313,205.057,,,21,25,,14,Clutch,retired
26,54,34,8,781,18,17,0.0,33,1:42.833,194.05,,,23,18,,21,Mechanical,retired
9,54,32,9,782,8,18,0.0,26,1:36.867,206.002,,,15,14,,13,Hydraulics,retired
9,54,17,3,783,4,19,0.0,15,1:36.771,206.206,,,9,12,,12,Hydraulics,retired
9,54,14,9,784,19,20,0.0,10,1:38.078,203.458,,,14,4,,17,Hydraulics,retired
5,54,3,3,785,3,21,0.0,6,1:37.366,204.946,,,10,6,,15,Engine,retired
3,54,8,1,786,6,22,0.0,0,,,,,3,,,,Accident,retired
10,55,31,1,800,5,14,0.0,46,1:27.464,218.27,,,4,45,,4,Electrical,retired
26,55,33,13,801,20,15,0.0,39,1:29.687,212.86,,,18,31,,16,Mechanical,retired
3,55,24,5,802,12,16,0.0,37,1:27.988,216.97,,,20,25,,11,Accident,retired
3,55,30,6,803,10,17,0.0,32,1:27.180,218.981,,,5,27,,3,Accident,retired
7,55,17,3,804,7,18,0.0,22,1:27.800,217.435,,,9,19,,9,Transmission,retired
3,55,32,9,805,13,19,0.0,4,1:41.351,188.363,,,15,4,,19,Accident,retired
3,55,15,7,806,9,20,0.0,0,,,,,8,,,,Accident,retired
3,55,3,3,807,14,21,0.0,0,,,,,10,,,,Accident,retired
3,55,13,6,808,15,22,0.0,0,,,,,6,,,,Accident,retired
30,56,14,9,825,14,17,0.0,47,1:26.855,205.542,,,14,41,,17,Driveshaft,retired
20,56,11,8,826,21,18,0.0,44,1:29.100,200.363,,,22,40,,20,Spun off,retired
9,56,32,9,827,17,19,0.0,40,1:26.759,205.77,,,15,30,,16,Hydraulics,retired
22,56,34,8,828,22,20,0.0,23,1:31.032,196.111,,,23,15,,21,Suspension,retired
38,56,15,7,829,9,21,0.0,5,1:28.039,202.778,,,8,4,,19,Steering,retired
3,56,27,13,830,20,22,0.0,0,,,,,19,,,,Accident,retired
5,57,23,7,844,10,14,0.0,52,1:33.607,197.985,,,7,27,,8,Engine,retired
5,57,31,1,845,8,15,0.0,52,1:33.571,198.061,,,4,47,,6,Engine,retired
9,57,11,8,846,20,16,0.0,45,1:36.706,191.64,,,22,26,,19,Hydraulics,retired
9,57,36,8,847,21,17,0.0,29,1:37.214,190.639,,,23,21,,20,Hydraulics,retired
5,57,18,11,848,6,18,0.0,28,1:34.042,197.069,,,12,9,,13,Engine,retired
6,57,32,9,849,15,19,0.0,28,1:34.553,196.004,,,15,16,,15,Gearbox,retired
9,57,17,3,850,19,20,0.0,12,1:35.415,194.233,,,9,11,,16,Hydraulics,retired
3,57,14,9,851,12,21,0.0,2,2:24.500,128.254,,,14,2,,21,Accident,retired
3,57,24,5,852,14,22,0.0,0,,,,,20,,,,Accident,retired
41,58,27,13,870,18,18,0.0,48,1:19.532,209.44,,,19,28,,20,Broken wing,retired
5,58,26,5,871,16,19,0.0,47,1:18.541,212.082,,,21,41,,16,Engine,retired
40,58,23,7,872,6,20,0.0,31,1:18.621,211.867,,,7,24,,17,Electronics,retired
20,58,31,1,873,12,21,0.0,17,1:19.482,209.571,,,4,17,,19,Spun off,retired
30,58,36,8,874,20,22,0.0,10,1:22.389,202.177,,,23,9,,22,Driveshaft,retired
7,59,32,9,892,11,18,0.0,56,1:17.930,154.292,,,15,19,,20,Transmission,retired
3,59,3,3,893,8,19,0.0,51,1:17.227,155.696,,,10,43,,9,Accident,retired
42,59,8,1,894,3,20,0.0,50,1:15.325,159.628,,,3,19,,2,Heat shield fire,retired
43,59,17,3,895,2,21,0.0,48,1:15.680,158.879,,,9,23,,4,Exhaust,retired
10,59,11,8,896,19,22,0.0,46,1:18.793,152.602,,,22,39,,21,Electrical,retired
44,60,18,11,915,19,19,0.0,8,1:25.207,217.207,,,12,8,,17,Oil leak,retired
3,60,26,5,916,15,20,0.0,1,,,,,21,,,,Accident,retired
3,60,23,7,917,7,21,0.0,0,,,,,7,,,,Accident,retired
3,60,17,3,918,17,22,0.0,0,,,,,9,,,,Accident,retired
3,61,35,2,934,11,16,0.0,58,1:17.394,202.852,,,17,29,,6,Accident,retired
31,61,23,7,935,14,17,0.0,58,1:18.793,199.251,,,7,19,,16,Retired,retired
3,61,31,1,936,7,18,0.0,13,1:18.493,200.012,,,4,5,,15,Accident,retired
26,61,22,11,937,9,19,0.0,11,1:19.286,198.012,,,11,10,,17,Mechanical,retired
5,61,36,8,938,21,20,0.0,2,2:07.709,122.932,,,23,2,,20,Engine,retired
3,61,3,3,939,6,21,0.0,1,,,,,10,,,,Accident,retired
3,61,27,13,940,19,22,0.0,0,,,,,19,,,,Accident,retired
45,62,23,7,950,8,10,0.0,62,1:13.225,206.093,,,7,29,,4,+11 Laps,retired
7,62,27,13,951,14,11,0.0,37,1:14.731,201.94,,,19,34,,12,Transmission,retired
5,62,35,2,952,6,12,0.0,23,1:13.934,204.117,,,17,19,,8,Engine,retired
3,62,33,13,953,15,13,0.0,9,1:22.036,183.958,,,18,9,,13,Accident,retired
3,62,11,8,954,18,14,0.0,6,1:43.802,145.384,,,22,6,,14,Accident,retired
3,62,18,11,955,7,15,0.0,3,2:04.692,121.027,,,12,2,,15,Accident,retired
3,62,8,1,956,9,16,0.0,0,,,,,3,,,,Accident,retired
3,62,2,2,957,10,17,0.0,0,,,,,16,,,,Accident,retired
3,62,31,1,958,11,18,0.0,0,,,,,4,,,,Accident,retired
3,62,17,3,959,12,19,0.0,0,,,,,9,,,,Accident,retired
3,62,26,5,960,13,20,0.0,0,,,,,21,,,,Accident,retired
3,62,32,9,961,16,21,0.0,0,,,,,15,,,,Accident,retired
3,62,36,8,962,19,22,0.0,0,,,,,23,,,,Accident,retired
39,63,18,11,979,17,17,0.0,61,1:18.510,202.262,,,12,47,,11,Technical,retired
46,63,17,3,980,10,18,0.0,55,1:18.859,201.366,,,9,34,,15,Wheel rim,retired
23,63,15,7,981,4,19,0.0,39,1:18.036,203.49,,,8,16,,8,Brakes,retired
5,63,22,11,982,13,20,0.0,28,1:20.094,198.262,,,11,16,,19,Engine,retired
26,63,33,13,983,19,21,0.0,11,1:21.663,194.452,,,18,8,,21,Mechanical,retired
7,63,11,8,984,21,22,0.0,0,,,,,22,,,,Transmission,retired
47,64,17,3,997,11,13,0.0,59,1:16.812,214.372,,,9,43,,6,Water leak,retired
6,64,11,8,998,17,14,0.0,38,1:19.413,207.351,,,22,26,,19,Gearbox,retired
3,64,35,2,999,13,15,0.0,30,1:18.904,208.689,,,17,29,,17,Accident,retired
5,64,22,11,1000,6,16,0.0,18,1:18.029,211.029,,,11,16,,14,Engine,retired
23,64,2,2,1001,15,17,0.0,9,1:19.264,207.741,,,16,3,,18,Brakes,retired
48,64,37,1,1002,9,18,0.0,2,1:19.649,206.737,,,4,2,,20,Fuel pump,retired
30,64,29,8,1003,22,19,0.0,1,,,,,23,,,,Driveshaft,retired
3,64,3,3,1004,14,20,0.0,0,,,,,10,,,,Accident,retired
2,64,27,13,1005,21,21,0.0,66,1:18.247,210.441,,,19,35,,15,Disqualified,disqualified
2,64,33,13,1006,18,22,0.0,66,1:18.718,209.182,,,18,46,,16,Disqualified,disqualified
30,65,4,4,1020,15,14,0.0,51,1:29.408,176.4,,,1,50,,14,Driveshaft,retired
4,65,8,1,1021,1,15,0.0,25,1:33.690,168.338,,,3,7,,16,Collision,retired
4,65,24,5,1022,17,16,0.0,25,1:38.858,159.537,,,20,8,,19,Collision,retired
10,65,3,3,1023,18,17,0.0,19,1:38.964,159.367,,,10,9,,20,Electrical,retired
20,65,21,4,1024,7,18,0.0,18,1:35.550,165.061,,,2,9,,17,Spun off,retired
20,65,32,9,1025,13,19,0.0,6,1:38.702,159.79,,,15,6,,18,Spun off,retired
3,65,17,3,1026,5,20,0.0,1,,,,,9,,,,Accident,retired
5,65,29,8,1027,21,21,0.0,0,,,,,23,,,,Engine,retired
2,65,9,2,1028,9,22,0.0,69,1:28.154,178.909,,,17,55,,12,Disqualified,disqualified
20,66,27,13,1044,22,16,0.0,46,1:30.403,212.568,,,19,35,,17,Spun off,retired
50,66,11,8,1045,21,17,0.0,41,1:31.814,209.301,,,22,33,,18,+17 Laps,not classified
47,66,3,3,1046,14,18,0.0,25,1:30.071,213.351,,,10,21,,14,Water leak,retired
20,66,29,8,1047,20,19,0.0,23,1:32.337,208.115,,,23,12,,20,Spun off,retired
20,66,24,5,1048,18,20,0.0,12,1:32.148,208.542,,,20,12,,19,Spun off,retired
4,66,8,1,1049,7,21,0.0,1,,,,,3,,,,Collision,retired
4,66,33,13,1050,19,22,0.0,0,,,,,18,,,,Collision,retired
23,67,33,14,1068,20,18,0.0,44,1:24.822,245.865,,,18,27,,15,Brakes,retired
5,67,4,4,1069,10,19,0.0,43,1:23.121,250.896,,,1,38,,5,Engine,retired
5,67,37,1,1070,7,20,0.0,20,1:23.702,249.155,,,4,8,,9,Engine,retired
9,67,29,8,1071,22,21,0.0,18,1:26.548,240.962,,,23,15,,22,Hydraulics,retired
30,67,3,3,1072,12,22,0.0,9,1:25.362,244.31,,,10,8,,19,Driveshaft,retired
51,68,23,7,1089,16,17,0.0,49,1:39.823,196.583,,,7,47,,11,Oil pressure,retired
4,68,13,6,1090,20,18,0.0,44,1:39.397,197.426,,,6,42,,7,Collision,retired
63,68,15,7,1091,17,19,0.0,38,1:44.787,187.271,,,8,24,,21,Pneumatics,retired
20,68,33,14,1092,18,20,0.0,37,1:45.356,186.259,,,18,35,,22,Spun off,retired
37,68,8,1,1093,5,21,0.0,18,1:44.094,188.518,,,3,14,,20,Throttle,retired
2,68,11,8,1094,21,22,0.0,55,1:40.856,194.57,,,22,48,,16,Disqualified,disqualified
3,69,17,3,1113,14,19,0.0,39,1:35.092,219.841,,,9,19,,18,Accident,retired
5,69,30,6,1114,2,20,0.0,36,1:32.792,225.29,,,5,32,,2,Engine,retired
6,69,14,9,1115,17,21,0.0,35,1:35.052,219.934,,,14,20,,16,Gearbox,retired
30,69,27,14,1116,16,22,0.0,20,1:36.036,217.68,,,19,19,,22,Driveshaft,retired
6,70,14,9,1134,18,18,0.0,14,1:16.045,203.989,,,14,12,,19,Gearbox,retired
22,70,15,7,1135,3,19,0.0,10,1:14.882,207.157,,,8,9,,18,Suspension,retired
22,70,23,7,1136,7,20,0.0,9,1:16.835,201.892,,,7,8,,20,Suspension,retired
4,70,17,3,1137,11,21,0.0,1,,,,,9,,,,Collision,retired
4,70,3,3,1138,13,22,0.0,0,,,,,10,,,,Collision,retired
3,71,30,6,1156,19,18,0.0,42,1:26.261,221.314,,,1,38,,6,Accident,retired
3,71,2,3,1157,7,19,0.0,42,1:26.854,219.803,,,8,38,,12,Accident,retired
6,71,27,18,1158,17,20,0.0,16,1:33.144,204.96,,,21,11,,20,Gearbox,retired
27,72,22,6,1172,12,14,0.0,49,1:36.878,205.978,,,2,22,,10,Tyre,retired
4,72,21,4,1173,3,15,0.0,36,1:36.182,207.469,,,6,21,,6,Collision,retired
4,72,17,3,1174,4,16,0.0,36,1:36.026,207.806,,,7,20,,5,Collision,retired
20,72,35,15,1175,16,17,0.0,26,1:38.058,203.499,,,11,18,,15,Spun off,retired
5,72,18,16,1176,9,18,0.0,2,1:37.912,203.803,,,3,2,,14,Engine,retired
5,72,19,16,1177,15,19,0.0,2,1:41.470,196.657,,,4,2,,18,Engine,retired
