inventory_id,transaction_type,transaction_created_date,transaction_modified_date,product_id,quantity,purchase_order_id,customer_order_id,comments,insertion_timestamp
70,2,2006-03-22,3/24/2006 10:59:41,48,10,,,,2025-08-12 10:43:24.51-04
108,2,2006-04-04,4/4/2006 11:08:14,34,300,,,"Fill Back Ordered product, Order #47",2025-08-12 10:43:24.51-04
124,2,2006-04-04,4/4/2006 11:38:11,48,40,,,,2025-08-12 10:43:24.51-04
125,2,2006-04-04,4/4/2006 11:38:32,41,10,,,,2025-08-12 10:43:24.51-04
128,2,2006-04-04,4/4/2006 11:39:53,8,20,,,,2025-08-12 10:43:24.51-04
44,1,2006-03-22,3/22/2006 16:04:07,17,40,,,,2025-08-12 10:43:24.51-04
65,2,2006-03-22,3/22/2006 16:08:59,51,10,,,,2025-08-12 10:43:24.51-04
75,2,2006-03-24,3/24/2006 10:55:46,48,100,,,"Fill Back Ordered product, Order #39",2025-08-12 10:43:24.51-04
79,2,2006-03-24,3/24/2006 10:58:40,41,200,,,"Fill Back Ordered product, Order #36",2025-08-12 10:43:24.51-04
104,3,2006-04-04,4/4/2006 11:01:37,43,300,,,"Fill Back Ordered product, Order #41",2025-08-12 10:43:24.51-04
114,2,2006-04-04,4/4/2006 11:08:49,72,50,,,"Fill Back Ordered product, Order #46",2025-08-12 10:43:24.51-04
115,1,2006-04-04,4/4/2006 11:03:38,41,50,,,,2025-08-12 10:43:24.51-04
135,2,2006-04-04,4/4/2006 11:43:08,52,40,,,,2025-08-12 10:43:24.51-04
53,1,2006-03-22,3/22/2006 16:04:45,77,60,,,,2025-08-12 10:43:24.51-04
113,1,2006-04-04,4/4/2006 11:03:12,72,50,,,,2025-08-12 10:43:24.51-04
126,2,2006-04-04,4/4/2006 11:38:53,43,5,,,,2025-08-12 10:43:24.51-04
39,1,2006-03-22,3/22/2006 16:03:14,57,80,,,,2025-08-12 10:43:24.51-04
60,1,2006-03-22,3/22/2006 16:05:51,34,60,,,,2025-08-12 10:43:24.51-04
63,2,2006-03-22,3/24/2006 11:03:00,80,30,,,,2025-08-12 10:43:24.51-04
71,2,2006-03-22,3/24/2006 10:57:38,8,17,,,,2025-08-12 10:43:24.51-04
88,3,2006-03-24,3/24/2006 14:50:09,1,25,,,,2025-08-12 10:43:24.51-04
101,2,2006-04-04,4/4/2006 11:08:49,57,100,,,"Fill Back Ordered product, Order #46",2025-08-12 10:43:24.51-04
103,1,2006-04-04,4/4/2006 11:01:35,43,250,,,,2025-08-12 10:43:24.51-04
117,2,2006-04-04,4/4/2006 11:05:04,34,87,,,,2025-08-12 10:43:24.51-04
129,2,2006-04-04,4/4/2006 11:40:16,80,15,,,,2025-08-12 10:43:24.51-04
40,1,2006-03-22,3/22/2006 16:03:40,6,100,,,,2025-08-12 10:43:24.51-04
43,1,2006-03-22,3/22/2006 16:04:02,14,40,,,,2025-08-12 10:43:24.51-04
45,1,2006-03-22,3/22/2006 16:04:12,19,20,,,,2025-08-12 10:43:24.51-04
51,1,2006-03-22,3/22/2006 16:04:38,51,40,,,,2025-08-12 10:43:24.51-04
56,1,2006-03-22,3/22/2006 16:05:14,5,40,,,,2025-08-12 10:43:24.51-04
72,1,2006-03-24,3/24/2006 10:41:30,81,200,,,,2025-08-12 10:43:24.51-04
111,1,2006-04-04,4/4/2006 11:02:56,19,10,,,,2025-08-12 10:43:24.51-04
120,2,2006-04-04,4/4/2006 11:36:21,17,40,,,,2025-08-12 10:43:24.51-04
136,3,2006-04-25,4/25/2006 17:04:57,56,110,,,,2025-08-12 10:43:24.51-04
50,1,2006-03-22,3/22/2006 16:04:31,48,100,,,,2025-08-12 10:43:24.51-04
74,1,2006-03-24,3/24/2006 10:53:13,48,100,,,,2025-08-12 10:43:24.51-04
107,1,2006-04-04,4/4/2006 11:02:17,34,300,,,,2025-08-12 10:43:24.51-04
130,2,2006-04-04,4/4/2006 11:40:38,74,20,,,,2025-08-12 10:43:24.51-04
52,1,2006-03-22,3/22/2006 16:04:41,74,20,,,,2025-08-12 10:43:24.51-04
81,2,2006-03-24,3/24/2006 11:02:02,19,30,,,"Fill Back Ordered product, Order #33",2025-08-12 10:43:24.51-04
92,2,2006-03-24,4/4/2006 11:06:56,21,20,,,,2025-08-12 10:43:24.51-04
97,3,2006-03-30,3/30/2006 17:23:27,34,10,,,,2025-08-12 10:43:24.51-04
132,2,2006-04-04,4/4/2006 11:42:26,3,50,,,,2025-08-12 10:43:24.51-04
46,1,2006-03-22,3/22/2006 16:04:17,20,40,,,,2025-08-12 10:43:24.51-04
59,1,2006-03-22,3/22/2006 16:05:47,1,40,,,,2025-08-12 10:43:24.51-04
61,1,2006-03-22,3/22/2006 16:06:00,43,100,,,,2025-08-12 10:43:24.51-04
66,2,2006-03-22,3/22/2006 16:08:59,80,10,,,,2025-08-12 10:43:24.51-04
102,1,2006-04-04,4/4/2006 11:01:14,34,50,,,,2025-08-12 10:43:24.51-04
119,2,2006-04-04,4/4/2006 11:35:54,7,30,,,,2025-08-12 10:43:24.51-04
127,2,2006-04-04,4/4/2006 11:39:29,40,40,,,,2025-08-12 10:43:24.51-04
38,1,2006-03-22,3/22/2006 16:03:09,56,120,,,,2025-08-12 10:43:24.51-04
41,1,2006-03-22,3/22/2006 16:03:47,7,40,,,,2025-08-12 10:43:24.51-04
58,1,2006-03-22,3/22/2006 16:05:32,66,80,,,,2025-08-12 10:43:24.51-04
73,2,2006-03-24,3/24/2006 10:41:42,81,200,,,"Fill Back Ordered product, Order #40",2025-08-12 10:43:24.51-04
76,1,2006-03-24,3/24/2006 10:53:36,43,300,,,,2025-08-12 10:43:24.51-04
82,1,2006-03-24,3/24/2006 10:54:58,34,100,,,,2025-08-12 10:43:24.51-04
89,3,2006-03-24,3/24/2006 14:50:14,43,25,,,,2025-08-12 10:43:24.51-04
94,2,2006-03-24,4/4/2006 11:06:13,41,30,,,,2025-08-12 10:43:24.51-04
105,1,2006-04-04,4/4/2006 11:01:55,8,25,,,,2025-08-12 10:43:24.51-04
109,1,2006-04-04,4/4/2006 11:02:37,19,25,,,,2025-08-12 10:43:24.51-04
35,1,2006-03-22,3/22/2006 16:02:28,80,75,,,,2025-08-12 10:43:24.51-04
37,1,2006-03-22,3/22/2006 16:03:04,52,100,,,,2025-08-12 10:43:24.51-04
54,1,2006-03-22,3/22/2006 16:05:07,3,100,,,,2025-08-12 10:43:24.51-04
62,1,2006-03-22,3/22/2006 16:06:03,81,125,,,,2025-08-12 10:43:24.51-04
64,2,2006-03-22,3/22/2006 16:08:59,7,10,,,,2025-08-12 10:43:24.51-04
85,2,2006-03-24,4/4/2006 11:41:14,4,10,,,,2025-08-12 10:43:24.51-04
96,3,2006-03-30,3/30/2006 16:46:34,34,12,,,,2025-08-12 10:43:24.51-04
55,1,2006-03-22,3/22/2006 16:05:11,4,40,,,,2025-08-12 10:43:24.51-04
67,2,2006-03-22,3/22/2006 16:10:27,1,15,,,,2025-08-12 10:43:24.51-04
83,2,2006-03-24,3/24/2006 11:03:00,34,100,,,"Fill Back Ordered product, Order #30",2025-08-12 10:43:24.51-04
91,2,2006-03-24,4/4/2006 11:09:24,40,50,,,,2025-08-12 10:43:24.51-04
110,2,2006-04-04,4/4/2006 11:41:14,19,10,,,"Fill Back Ordered product, Order #42",2025-08-12 10:43:24.51-04
118,2,2006-04-04,4/4/2006 11:35:54,51,30,,,,2025-08-12 10:43:24.51-04
122,2,2006-04-04,4/4/2006 11:37:09,4,30,,,,2025-08-12 10:43:24.51-04
134,2,2006-04-04,4/4/2006 11:43:08,20,40,,,,2025-08-12 10:43:24.51-04
