circuit_name,race_year,avg_lap_time_in_ms
Circuit de Barcelona-Catalunya,2011,92591
Circuit de Barcelona-Catalunya,2012,91634
Circuit de Barcelona-Catalunya,2013,91714
Circuit de Barcelona-Catalunya,2014,93757
Circuit de Barcelona-Catalunya,2015,94224
Circuit de Barcelona-Catalunya,2016,93905
Circuit de Barcelona-Catalunya,2017,89255
Circuit de Barcelona-Catalunya,2018,89102
Circuit de Barcelona-Catalunya,2019,87336
Circuit de Barcelona-Catalunya,2020,85196
Circuit de Barcelona-Catalunya,2021,86209
Circuit de Barcelona-Catalunya,2022,89854
Circuit de Barcelona-Catalunya,2023,80967
Circuit de Barcelona-Catalunya,2024,81347
Circuit de Monaco,1996,99796
Circuit de Monaco,1997,119601
Circuit de Monaco,1998,87479
Circuit de Monaco,1999,86061
Circuit de Monaco,2000,85511
Circuit de Monaco,2001,85217
Circuit de Monaco,2002,83429
Circuit de Monaco,2003,80484
Circuit de Monaco,2004,85516
Circuit de Monaco,2005,82587
Circuit de Monaco,2006,81079
Circuit de Monaco,2007,79120
Circuit de Monaco,2008,96773
Circuit de Monaco,2009,78432
Circuit de Monaco,2010,85809
Circuit de Monaco,2011,99011
Circuit de Monaco,2012,82182
Circuit de Monaco,2013,106143
Circuit de Monaco,2014,85432
Circuit de Monaco,2015,83990
Circuit de Monaco,2016,94788
Circuit de Monaco,2017,80364
Circuit de Monaco,2018,79482
Circuit de Monaco,2019,80172
Circuit de Monaco,2021,77235
Circuit de Monaco,2022,91082
Circuit de Monaco,2023,84337
Circuit de Monaco,2024,80245
Circuit de Nevers Magny-Cours,1996,82348
Circuit de Nevers Magny-Cours,1997,83839
Circuit de Nevers Magny-Cours,1998,82264
Circuit de Nevers Magny-Cours,1999,98496
Circuit de Nevers Magny-Cours,2000,83375
Circuit de Nevers Magny-Cours,2001,79644
Circuit de Nevers Magny-Cours,2002,78463
Circuit de Nevers Magny-Cours,2003,79642
Circuit de Nevers Magny-Cours,2004,78914
Circuit de Nevers Magny-Cours,2005,80946
Circuit de Nevers Magny-Cours,2006,80710
Circuit de Nevers Magny-Cours,2007,79237
Circuit de Nevers Magny-Cours,2008,79684
Circuit de Spa-Francorchamps,1996,122690
Circuit de Spa-Francorchamps,1997,132220
Circuit de Spa-Francorchamps,1998,145077
Circuit de Spa-Francorchamps,1999,119180
Circuit de Spa-Francorchamps,2000,123425
Circuit de Spa-Francorchamps,2001,116571
Circuit de Spa-Francorchamps,2002,112632
Circuit de Spa-Francorchamps,2004,126998
Circuit de Spa-Francorchamps,2005,126148
Circuit de Spa-Francorchamps,2007,112448
Circuit de Spa-Francorchamps,2008,114506
Circuit de Spa-Francorchamps,2009,115553
Circuit de Spa-Francorchamps,2010,122916
Circuit de Spa-Francorchamps,2011,120139
Circuit de Spa-Francorchamps,2012,123905
Circuit de Spa-Francorchamps,2013,115967
Circuit de Spa-Francorchamps,2014,116976
Circuit de Spa-Francorchamps,2015,118890
Circuit de Spa-Francorchamps,2016,144106
Circuit de Spa-Francorchamps,2017,115734
Circuit de Spa-Francorchamps,2018,115636
Circuit de Spa-Francorchamps,2019,116135
Circuit de Spa-Francorchamps,2020,115238
Circuit de Spa-Francorchamps,2021,225824
Circuit de Spa-Francorchamps,2022,118759
Circuit de Spa-Francorchamps,2023,114035
Circuit de Spa-Francorchamps,2024,109976
Circuit of the Americas,2012,104829
Circuit of the Americas,2013,107912
Circuit of the Americas,2014,108840
Circuit of the Americas,2015,119728
Circuit of the Americas,2016,107419
Circuit of the Americas,2017,102291
Circuit of the Americas,2018,102804
Circuit of the Americas,2019,102641
Circuit of the Americas,2021,103719
Circuit of the Americas,2022,110421
Circuit of the Americas,2023,103227
Circuito de Jerez,1997,87072
Fuji Speedway,2007,111066
Fuji Speedway,2008,81808
Hockenheimring,1996,111431
Hockenheimring,1997,109985
Hockenheimring,1998,109460
Hockenheimring,1999,110626
Hockenheimring,2000,114235
Hockenheimring,2001,106370
Hockenheimring,2002,80844
Hockenheimring,2003,82704
Hockenheimring,2004,77843
Hockenheimring,2005,79924
Hockenheimring,2006,79954
Hockenheimring,2008,82440
Hockenheimring,2010,80806
Hockenheimring,2012,82861
Hockenheimring,2014,85388
Hockenheimring,2016,82664
Hockenheimring,2018,82898
Hockenheimring,2019,97419
Hungaroring,1996,84921
Hungaroring,1997,83374
Hungaroring,1998,84199
Hungaroring,1999,84415
Hungaroring,2000,84593
Hungaroring,2001,82345
Hungaroring,2002,80742
Hungaroring,2003,86829
Hungaroring,2004,84108
Hungaroring,2005,86576
Hungaroring,2006,99242
Hungaroring,2007,83614
Hungaroring,2008,84884
Hungaroring,2009,85346
Hungaroring,2010,89090
Hungaroring,2011,94516
Hungaroring,2012,89334
Hungaroring,2013,89428
Hungaroring,2014,98576
Hungaroring,2015,92149
Hungaroring,2016,87781
Hungaroring,2017,87021
Hungaroring,2018,85010
Hungaroring,2019,83486
Hungaroring,2020,83835
Hungaroring,2021,88273
Hungaroring,2022,86576
Hungaroring,2023,85420
Hungaroring,2024,85069
Indianapolis Motor Speedway,2000,81015
Indianapolis Motor Speedway,2001,77606
Indianapolis Motor Speedway,2002,76293
Indianapolis Motor Speedway,2003,79482
Indianapolis Motor Speedway,2004,86034
Indianapolis Motor Speedway,2005,75122
Indianapolis Motor Speedway,2006,79691
Indianapolis Motor Speedway,2007,76220
Istanbul Park,2005,91745
Istanbul Park,2006,95027
Istanbul Park,2007,91440
Istanbul Park,2008,91201
Istanbul Park,2009,90474
Istanbul Park,2010,93885
Istanbul Park,2011,95279
Istanbul Park,2020,108007
Istanbul Park,2021,95769
Jeddah Corniche Circuit,2021,153621
Jeddah Corniche Circuit,2022,102263
Jeddah Corniche Circuit,2023,98429
Jeddah Corniche Circuit,2024,97731
Korean International Circuit,2010,198826
Korean International Circuit,2011,108706
Korean International Circuit,2012,106980
Korean International Circuit,2013,113215
Las Vegas Strip Street Circuit,2023,107525
Losail International Circuit,2021,90140
Losail International Circuit,2023,93276
Marina Bay Street Circuit,2008,115775
Marina Bay Street Circuit,2009,115521
Marina Bay Street Circuit,2010,118746
Marina Bay Street Circuit,2011,119925
Marina Bay Street Circuit,2012,123148
Marina Bay Street Circuit,2013,118401
Marina Bay Street Circuit,2014,120726
Marina Bay Street Circuit,2015,120572
Marina Bay Street Circuit,2016,114715
Marina Bay Street Circuit,2017,125437
Marina Bay Street Circuit,2018,111481
Marina Bay Street Circuit,2019,116572
Marina Bay Street Circuit,2022,126039
Marina Bay Street Circuit,2023,103494
Miami International Autodrome,2022,99643
Miami International Autodrome,2023,93240
Miami International Autodrome,2024,95928
Nürburgring,1996,85187
Nürburgring,1997,82778
Nürburgring,1998,85123
Nürburgring,1999,94578
Nürburgring,2000,93620
Nürburgring,2001,81972
Nürburgring,2002,97648
Nürburgring,2003,96946
Nürburgring,2004,94673
Nürburgring,2005,95025
Nürburgring,2006,97868
Nürburgring,2007,133667
Nürburgring,2009,97747
Nürburgring,2011,100121
Nürburgring,2013,102134
Nürburgring,2020,96044
Red Bull Ring,1997,74986
Red Bull Ring,1998,78521
Red Bull Ring,1999,76099
Red Bull Ring,2000,76907
Red Bull Ring,2001,76861
Red Bull Ring,2002,80724
Red Bull Ring,2003,74695
Red Bull Ring,2014,75508
Red Bull Ring,2015,78064
Red Bull Ring,2016,73683
Red Bull Ring,2017,70369
Red Bull Ring,2018,70500
Red Bull Ring,2019,70529
Red Bull Ring,2020,73441
Red Bull Ring,2021,71543
Red Bull Ring,2022,72290
Red Bull Ring,2023,72400
Red Bull Ring,2024,72052
Sepang International Circuit,1999,105807
Sepang International Circuit,2000,104917
Sepang International Circuit,2001,120450
Sepang International Circuit,2002,104512
Sepang International Circuit,2003,101999
Sepang International Circuit,2004,100016
Sepang International Circuit,2005,100240
Sepang International Circuit,2006,100349
Sepang International Circuit,2007,100573
Sepang International Circuit,2008,99586
Sepang International Circuit,2009,109763
Sepang International Circuit,2010,104026
Sepang International Circuit,2011,106578
Sepang International Circuit,2012,182217
Sepang International Circuit,2013,107781
Sepang International Circuit,2014,109760
Sepang International Circuit,2015,110153
Sepang International Circuit,2016,105257
Sepang International Circuit,2017,98399
Shanghai International Circuit,2004,97480
Shanghai International Circuit,2005,108572
Shanghai International Circuit,2006,107412
Shanghai International Circuit,2007,107369
Shanghai International Circuit,2008,99831
Shanghai International Circuit,2009,128685
Shanghai International Circuit,2010,118109
Shanghai International Circuit,2011,105435
Shanghai International Circuit,2012,104517
Shanghai International Circuit,2013,104392
Shanghai International Circuit,2014,105705
Shanghai International Circuit,2015,107838
Shanghai International Circuit,2016,107392
Shanghai International Circuit,2017,103341
Shanghai International Circuit,2018,102986
Shanghai International Circuit,2019,100690
Shanghai International Circuit,2024,108675
Silverstone Circuit,1996,93659
Silverstone Circuit,1997,91179
Silverstone Circuit,1998,108235
Silverstone Circuit,1999,94031
Silverstone Circuit,2000,90449
Silverstone Circuit,2001,88000
Silverstone Circuit,2002,94557
Silverstone Circuit,2003,90055
Silverstone Circuit,2004,85766
Silverstone Circuit,2005,86660
Silverstone Circuit,2006,87877
Silverstone Circuit,2007,85536
Silverstone Circuit,2008,100906
Silverstone Circuit,2009,84317
Silverstone Circuit,2010,99351
Silverstone Circuit,2011,105105
Silverstone Circuit,2012,99790
Silverstone Circuit,2013,108091
Silverstone Circuit,2014,178614
Silverstone Circuit,2015,107826
Silverstone Circuit,2016,113013
Silverstone Circuit,2017,97716
Silverstone Circuit,2018,101242
Silverstone Circuit,2019,94786
Silverstone Circuit,2020,97607
Silverstone Circuit,2021,139479
Silverstone Circuit,2022,167077
Silverstone Circuit,2023,98565
Silverstone Circuit,2024,96576
Sochi Autodrom,2014,105676
Sochi Autodrom,2015,111364
Sochi Autodrom,2016,106927
Sochi Autodrom,2017,103610
Sochi Autodrom,2018,101138
Sochi Autodrom,2019,106491
Sochi Autodrom,2020,107984
Sochi Autodrom,2021,103833
Suzuka Circuit,1996,108713
Suzuka Circuit,1997,103354
Suzuka Circuit,1998,105138
Suzuka Circuit,1999,106192
Suzuka Circuit,2000,104520
Suzuka Circuit,2001,101901
Suzuka Circuit,2002,100954
Suzuka Circuit,2003,98207
Suzuka Circuit,2004,97773
Suzuka Circuit,2005,103227
Suzuka Circuit,2006,97062
Suzuka Circuit,2009,100348
Suzuka Circuit,2010,104809
Suzuka Circuit,2011,104358
Suzuka Circuit,2012,102366
Suzuka Circuit,2013,99835
Suzuka Circuit,2014,157172
Suzuka Circuit,2015,101726
Suzuka Circuit,2016,99847
Suzuka Circuit,2017,100616
Suzuka Circuit,2018,100800
Suzuka Circuit,2019,96556
Suzuka Circuit,2022,133182
Suzuka Circuit,2023,105339
Suzuka Circuit,2024,133484
Valencia Street Circuit,2008,102131
Valencia Street Circuit,2009,102152
Valencia Street Circuit,2010,107433
Valencia Street Circuit,2011,106737
Valencia Street Circuit,2012,109969
Yas Marina Circuit,2009,103623
Yas Marina Circuit,2010,110506
Yas Marina Circuit,2011,108569
Yas Marina Circuit,2012,116271
Yas Marina Circuit,2013,108863
Yas Marina Circuit,2014,109641
Yas Marina Circuit,2015,109563
Yas Marina Circuit,2016,108390
Yas Marina Circuit,2017,104837
Yas Marina Circuit,2018,110936
Yas Marina Circuit,2019,104966
Yas Marina Circuit,2020,106643
Yas Marina Circuit,2021,93757
Yas Marina Circuit,2022,92120
Yas Marina Circuit,2023,90943
