circuit_name,race_year,avg_lap_time_in_ms
Circuit de Barcelona-Catalunya,2011,92749
Circuit de Barcelona-Catalunya,2012,91804
Circuit de Barcelona-Catalunya,2013,91926
Circuit de Barcelona-Catalunya,2014,93876
Circuit de Barcelona-Catalunya,2015,94366
Circuit de Barcelona-Catalunya,2016,93990
Circuit de Barcelona-Catalunya,2017,89566
Circuit de Barcelona-Catalunya,2018,89233
Circuit de Barcelona-Catalunya,2019,87558
Circuit de Barcelona-Catalunya,2020,85305
Circuit de Barcelona-Catalunya,2021,86326
Circuit de Barcelona-Catalunya,2022,90072
Circuit de Barcelona-Catalunya,2023,81104
Circuit de Barcelona-Catalunya,2024,81474
Circuit de Monaco,1996,99796
Circuit de Monaco,1997,119601
Circuit de Monaco,1998,87479
Circuit de Monaco,1999,86061
Circuit de Monaco,2000,85511
Circuit de Monaco,2001,85217
Circuit de Monaco,2002,83429
Circuit de Monaco,2003,80484
Circuit de Monaco,2004,85516
Circuit de Monaco,2005,82587
Circuit de Monaco,2006,81079
Circuit de Monaco,2007,79120
Circuit de Monaco,2008,96773
Circuit de Monaco,2009,78432
Circuit de Monaco,2010,85809
Circuit de Monaco,2011,99204
Circuit de Monaco,2012,82577
Circuit de Monaco,2013,106209
Circuit de Monaco,2014,86113
Circuit de Monaco,2015,84532
Circuit de Monaco,2016,95729
Circuit de Monaco,2017,80752
Circuit de Monaco,2018,79858
Circuit de Monaco,2019,80587
Circuit de Monaco,2021,77458
Circuit de Monaco,2022,110230
Circuit de Monaco,2023,85122
Circuit de Monaco,2024,111785
Circuit de Nevers Magny-Cours,1996,82348
Circuit de Nevers Magny-Cours,1997,83839
Circuit de Nevers Magny-Cours,1998,82264
Circuit de Nevers Magny-Cours,1999,98496
Circuit de Nevers Magny-Cours,2000,83375
Circuit de Nevers Magny-Cours,2001,79644
Circuit de Nevers Magny-Cours,2002,78463
Circuit de Nevers Magny-Cours,2003,79642
Circuit de Nevers Magny-Cours,2004,78914
Circuit de Nevers Magny-Cours,2005,80946
Circuit de Nevers Magny-Cours,2006,80710
Circuit de Nevers Magny-Cours,2007,79237
Circuit de Nevers Magny-Cours,2008,79684
Circuit de Spa-Francorchamps,1996,122690
Circuit de Spa-Francorchamps,1997,132220
Circuit de Spa-Francorchamps,1998,145077
Circuit de Spa-Francorchamps,1999,119180
Circuit de Spa-Francorchamps,2000,123425
Circuit de Spa-Francorchamps,2001,116571
Circuit de Spa-Francorchamps,2002,112632
Circuit de Spa-Francorchamps,2004,126998
Circuit de Spa-Francorchamps,2005,126148
Circuit de Spa-Francorchamps,2007,112448
Circuit de Spa-Francorchamps,2008,114506
Circuit de Spa-Francorchamps,2009,115553
Circuit de Spa-Francorchamps,2010,122916
Circuit de Spa-Francorchamps,2011,120529
Circuit de Spa-Francorchamps,2012,124004
Circuit de Spa-Francorchamps,2013,116210
Circuit de Spa-Francorchamps,2014,117315
Circuit de Spa-Francorchamps,2015,119296
Circuit de Spa-Francorchamps,2016,144289
Circuit de Spa-Francorchamps,2017,116337
Circuit de Spa-Francorchamps,2018,116912
Circuit de Spa-Francorchamps,2019,116425
Circuit de Spa-Francorchamps,2020,115837
Circuit de Spa-Francorchamps,2021,225824
Circuit de Spa-Francorchamps,2022,118967
Circuit de Spa-Francorchamps,2023,114249
Circuit de Spa-Francorchamps,2024,110147
Circuit of the Americas,2012,104842
Circuit of the Americas,2013,107876
Circuit of the Americas,2014,108865
Circuit of the Americas,2015,120262
Circuit of the Americas,2016,107482
Circuit of the Americas,2017,102314
Circuit of the Americas,2018,102936
Circuit of the Americas,2019,102680
Circuit of the Americas,2021,103738
Circuit of the Americas,2022,110457
Circuit of the Americas,2023,103250
Circuito de Jerez,1997,87072
Fuji Speedway,2007,111066
Fuji Speedway,2008,81808
Hockenheimring,1996,111431
Hockenheimring,1997,109985
Hockenheimring,1998,109460
Hockenheimring,1999,110626
Hockenheimring,2000,114235
Hockenheimring,2001,106370
Hockenheimring,2002,80844
Hockenheimring,2003,82704
Hockenheimring,2004,77843
Hockenheimring,2005,79924
Hockenheimring,2006,79954
Hockenheimring,2008,82440
Hockenheimring,2010,80806
Hockenheimring,2012,83039
Hockenheimring,2014,85536
Hockenheimring,2016,82801
Hockenheimring,2018,83211
Hockenheimring,2019,98450
Hungaroring,1996,84921
Hungaroring,1997,83374
Hungaroring,1998,84199
Hungaroring,1999,84415
Hungaroring,2000,84593
Hungaroring,2001,82345
Hungaroring,2002,80742
Hungaroring,2003,86829
Hungaroring,2004,84108
Hungaroring,2005,86576
Hungaroring,2006,99242
Hungaroring,2007,83614
Hungaroring,2008,84884
Hungaroring,2009,85346
Hungaroring,2010,89090
Hungaroring,2011,94755
Hungaroring,2012,89436
Hungaroring,2013,89550
Hungaroring,2014,98856
Hungaroring,2015,93510
Hungaroring,2016,87849
Hungaroring,2017,87079
Hungaroring,2018,85054
Hungaroring,2019,83529
Hungaroring,2020,84211
Hungaroring,2021,109608
Hungaroring,2022,86661
Hungaroring,2023,85492
Hungaroring,2024,85147
Indianapolis Motor Speedway,2000,81015
Indianapolis Motor Speedway,2001,77606
Indianapolis Motor Speedway,2002,76293
Indianapolis Motor Speedway,2003,79482
Indianapolis Motor Speedway,2004,86034
Indianapolis Motor Speedway,2005,75122
Indianapolis Motor Speedway,2006,79691
Indianapolis Motor Speedway,2007,76220
Istanbul Park,2005,91745
Istanbul Park,2006,95027
Istanbul Park,2007,91440
Istanbul Park,2008,91201
Istanbul Park,2009,90474
Istanbul Park,2010,93885
Istanbul Park,2011,95400
Istanbul Park,2020,108180
Istanbul Park,2021,95842
Jeddah Corniche Circuit,2021,154924
Jeddah Corniche Circuit,2022,102405
Jeddah Corniche Circuit,2023,98774
Jeddah Corniche Circuit,2024,98219
Korean International Circuit,2010,198826
Korean International Circuit,2011,108893
Korean International Circuit,2012,107176
Korean International Circuit,2013,113403
Las Vegas Strip Street Circuit,2023,107752
Losail International Circuit,2021,90765
Losail International Circuit,2023,93497
Marina Bay Street Circuit,2008,115775
Marina Bay Street Circuit,2009,115521
Marina Bay Street Circuit,2010,118746
Marina Bay Street Circuit,2011,120601
Marina Bay Street Circuit,2012,123571
Marina Bay Street Circuit,2013,118799
Marina Bay Street Circuit,2014,121152
Marina Bay Street Circuit,2015,121018
Marina Bay Street Circuit,2016,116026
Marina Bay Street Circuit,2017,130159
Marina Bay Street Circuit,2018,111642
Marina Bay Street Circuit,2019,116810
Marina Bay Street Circuit,2022,126269
Marina Bay Street Circuit,2023,104024
Miami International Autodrome,2022,99879
Miami International Autodrome,2023,93328
Miami International Autodrome,2024,96211
Nürburgring,1996,85187
Nürburgring,1997,82778
Nürburgring,1998,85123
Nürburgring,1999,94578
Nürburgring,2000,93620
Nürburgring,2001,81972
Nürburgring,2002,97648
Nürburgring,2003,96946
Nürburgring,2004,94673
Nürburgring,2005,95025
Nürburgring,2006,97868
Nürburgring,2007,133667
Nürburgring,2009,97747
Nürburgring,2011,100240
Nürburgring,2013,102192
Nürburgring,2020,96282
Red Bull Ring,1997,74986
Red Bull Ring,1998,78521
Red Bull Ring,1999,76099
Red Bull Ring,2000,76907
Red Bull Ring,2001,76861
Red Bull Ring,2002,80724
Red Bull Ring,2003,74695
Red Bull Ring,2014,75600
Red Bull Ring,2015,78207
Red Bull Ring,2016,74946
Red Bull Ring,2017,70445
Red Bull Ring,2018,70745
Red Bull Ring,2019,70587
Red Bull Ring,2020,73856
Red Bull Ring,2021,71635
Red Bull Ring,2022,72462
Red Bull Ring,2023,73294
Red Bull Ring,2024,72186
Sepang International Circuit,1999,105807
Sepang International Circuit,2000,104917
Sepang International Circuit,2001,120450
Sepang International Circuit,2002,104512
Sepang International Circuit,2003,101999
Sepang International Circuit,2004,100016
Sepang International Circuit,2005,100240
Sepang International Circuit,2006,100349
Sepang International Circuit,2007,100573
Sepang International Circuit,2008,99586
Sepang International Circuit,2009,109763
Sepang International Circuit,2010,104026
Sepang International Circuit,2011,106845
Sepang International Circuit,2012,179399
Sepang International Circuit,2013,108082
Sepang International Circuit,2014,110075
Sepang International Circuit,2015,110630
Sepang International Circuit,2016,105919
Sepang International Circuit,2017,98476
Shanghai International Circuit,2004,97480
Shanghai International Circuit,2005,108572
Shanghai International Circuit,2006,107412
Shanghai International Circuit,2007,107369
Shanghai International Circuit,2008,99831
Shanghai International Circuit,2009,128685
Shanghai International Circuit,2010,118109
Shanghai International Circuit,2011,105659
Shanghai International Circuit,2012,104810
Shanghai International Circuit,2013,104690
Shanghai International Circuit,2014,105911
Shanghai International Circuit,2015,107993
Shanghai International Circuit,2016,107721
Shanghai International Circuit,2017,107368
Shanghai International Circuit,2018,103178
Shanghai International Circuit,2019,100897
Shanghai International Circuit,2024,109144
Silverstone Circuit,1996,93659
Silverstone Circuit,1997,91179
Silverstone Circuit,1998,108235
Silverstone Circuit,1999,94031
Silverstone Circuit,2000,90449
Silverstone Circuit,2001,88000
Silverstone Circuit,2002,94557
Silverstone Circuit,2003,90055
Silverstone Circuit,2004,85766
Silverstone Circuit,2005,86660
Silverstone Circuit,2006,87877
Silverstone Circuit,2007,85536
Silverstone Circuit,2008,100906
Silverstone Circuit,2009,84317
Silverstone Circuit,2010,99351
Silverstone Circuit,2011,104957
Silverstone Circuit,2012,99808
Silverstone Circuit,2013,107806
Silverstone Circuit,2014,180682
Silverstone Circuit,2015,108002
Silverstone Circuit,2016,113490
Silverstone Circuit,2017,97781
Silverstone Circuit,2018,101208
Silverstone Circuit,2019,95101
Silverstone Circuit,2020,97614
Silverstone Circuit,2021,138947
Silverstone Circuit,2022,164765
Silverstone Circuit,2023,98705
Silverstone Circuit,2024,96839
Sochi Autodrom,2014,105797
Sochi Autodrom,2015,111659
Sochi Autodrom,2016,107196
Sochi Autodrom,2017,103806
Sochi Autodrom,2018,101255
Sochi Autodrom,2019,107044
Sochi Autodrom,2020,108128
Sochi Autodrom,2021,104673
Suzuka Circuit,1996,108713
Suzuka Circuit,1997,103354
Suzuka Circuit,1998,105138
Suzuka Circuit,1999,106192
Suzuka Circuit,2000,104520
Suzuka Circuit,2001,101901
Suzuka Circuit,2002,100954
Suzuka Circuit,2003,98207
Suzuka Circuit,2004,97773
Suzuka Circuit,2005,103227
Suzuka Circuit,2006,97062
Suzuka Circuit,2009,100348
Suzuka Circuit,2010,104809
Suzuka Circuit,2011,104489
Suzuka Circuit,2012,102525
Suzuka Circuit,2013,100005
Suzuka Circuit,2014,155868
Suzuka Circuit,2015,101991
Suzuka Circuit,2016,99930
Suzuka Circuit,2017,100707
Suzuka Circuit,2018,100938
Suzuka Circuit,2019,96642
Suzuka Circuit,2022,134424
Suzuka Circuit,2023,108601
Suzuka Circuit,2024,132764
Valencia Street Circuit,2008,102131
Valencia Street Circuit,2009,102152
Valencia Street Circuit,2010,107433
Valencia Street Circuit,2011,107504
Valencia Street Circuit,2012,110762
Yas Marina Circuit,2009,103623
Yas Marina Circuit,2010,110506
Yas Marina Circuit,2011,108615
Yas Marina Circuit,2012,116404
Yas Marina Circuit,2013,108938
Yas Marina Circuit,2014,109715
Yas Marina Circuit,2015,109684
Yas Marina Circuit,2016,108480
Yas Marina Circuit,2017,104873
Yas Marina Circuit,2018,111006
Yas Marina Circuit,2019,105010
Yas Marina Circuit,2020,107039
Yas Marina Circuit,2021,93919
Yas Marina Circuit,2022,92205
Yas Marina Circuit,2023,91001
