order_id,product_id,customer_id,employee_id,shipper_id,quantity,unit_price,discount,status_id,date_allocated,purchase_order_id,inventory_id,order_date,shipped_date,paid_date,insertion_timestamp
67,74,10,4,2,20,10.0,0,2,,,130,2006-05-24,5/24/2006 0:00:00,5/24/2006 0:00:00,2025-08-07 13:59:14.04-04
32,1,12,4,2,15,18.0,0,2,,,67,2006-01-22,1/22/2006 0:00:00,1/22/2006 0:00:00,2025-08-07 13:59:14.04-04
32,43,12,4,2,20,46.0,0,2,,,68,2006-01-22,1/22/2006 0:00:00,1/22/2006 0:00:00,2025-08-07 13:59:14.04-04
35,48,29,3,2,10,12.75,0,2,,,70,2006-02-10,2/12/2006 0:00:00,2/10/2006 0:00:00,2025-08-07 13:59:14.04-04
71,40,1,1,3,40,18.4,0,2,,,127,2006-05-24,,,2025-08-07 13:59:14.04-04
58,52,4,3,1,40,7.0,0,2,,,135,2006-04-22,4/22/2006 0:00:00,4/22/2006 0:00:00,2025-08-07 13:59:14.04-04
48,8,8,4,2,25,40.0,0,2,,108,106,2006-04-05,4/5/2006 0:00:00,4/5/2006 0:00:00,2025-08-07 13:59:14.04-04
42,19,10,1,1,10,9.2,0,2,,103,110,2006-03-24,4/7/2006 0:00:00,,2025-08-07 13:59:14.04-04
70,8,11,1,3,20,40.0,0,2,,,128,2006-05-24,,,2025-08-07 13:59:14.04-04
33,19,8,6,3,30,9.2,0,2,,97,81,2006-01-30,1/31/2006 0:00:00,1/30/2006 0:00:00,2025-08-07 13:59:14.04-04
38,43,28,9,3,300,46.0,0,2,,99,77,2006-03-10,3/11/2006 0:00:00,3/10/2006 0:00:00,2025-08-07 13:59:14.04-04
55,34,29,1,2,87,14.0,0,2,,,117,2006-04-05,4/5/2006 0:00:00,4/5/2006 0:00:00,2025-08-07 13:59:14.04-04
