inventory_id,transaction_type,transaction_created_date,transaction_modified_date,product_id,quantity,purchase_order_id,customer_order_id,comments
87,3,2006-03-24,3/24/2006 14:49:20,81,50,,,
95,2,2006-03-24,4/4/2006 11:06:13,40,30,,,
99,2,2006-04-03,4/3/2006 13:50:15,48,10,,,
100,1,2006-04-04,4/4/2006 11:00:54,57,100,,,
123,2,2006-04-04,4/4/2006 11:37:49,48,40,,,
133,2,2006-04-04,4/4/2006 11:42:26,8,3,,,
48,1,2006-03-22,3/22/2006 16:04:24,40,120,,,
57,1,2006-03-22,3/22/2006 16:05:26,65,40,,,
77,2,2006-03-24,3/24/2006 10:56:57,43,300,,,"Fill Back Ordered product, Order #38"
80,1,2006-03-24,3/24/2006 10:54:33,19,30,,,
84,2,2006-03-24,4/4/2006 11:41:14,6,10,,,
86,3,2006-03-24,3/24/2006 14:49:16,80,20,,,
90,3,2006-03-24,3/24/2006 14:50:18,81,25,,,
112,2,2006-04-04,4/4/2006 11:07:37,19,25,,,"Fill Back Ordered product, Order #48"
36,1,2006-03-22,3/22/2006 16:02:48,72,40,,,
68,2,2006-03-22,3/22/2006 16:10:27,43,20,,,
69,2,2006-03-22,3/24/2006 11:00:55,19,20,,,
98,3,2006-03-30,3/30/2006 17:24:33,34,1,,,
116,2,2006-04-04,4/4/2006 11:09:24,41,50,,,"Fill Back Ordered product, Order #45"
39,1,2006-03-22,3/22/2006 16:03:14,57,80,,,
60,1,2006-03-22,3/22/2006 16:05:51,34,60,,,
63,2,2006-03-22,3/24/2006 11:03:00,80,30,,,
71,2,2006-03-22,3/24/2006 10:57:38,8,17,,,
88,3,2006-03-24,3/24/2006 14:50:09,1,25,,,
101,2,2006-04-04,4/4/2006 11:08:49,57,100,,,"Fill Back Ordered product, Order #46"
103,1,2006-04-04,4/4/2006 11:01:35,43,250,,,
117,2,2006-04-04,4/4/2006 11:05:04,34,87,,,
129,2,2006-04-04,4/4/2006 11:40:16,80,15,,,
38,1,2006-03-22,3/22/2006 16:03:09,56,120,,,
41,1,2006-03-22,3/22/2006 16:03:47,7,40,,,
58,1,2006-03-22,3/22/2006 16:05:32,66,80,,,
73,2,2006-03-24,3/24/2006 10:41:42,81,200,,,"Fill Back Ordered product, Order #40"
76,1,2006-03-24,3/24/2006 10:53:36,43,300,,,
82,1,2006-03-24,3/24/2006 10:54:58,34,100,,,
89,3,2006-03-24,3/24/2006 14:50:14,43,25,,,
94,2,2006-03-24,4/4/2006 11:06:13,41,30,,,
105,1,2006-04-04,4/4/2006 11:01:55,8,25,,,
109,1,2006-04-04,4/4/2006 11:02:37,19,25,,,
47,1,2006-03-22,3/22/2006 16:04:20,21,20,,,
49,1,2006-03-22,3/22/2006 16:04:28,41,40,,,
93,2,2006-03-24,4/4/2006 11:06:13,5,25,,,
131,2,2006-04-04,4/4/2006 11:41:45,72,40,,,
50,1,2006-03-22,3/22/2006 16:04:31,48,100,,,
74,1,2006-03-24,3/24/2006 10:53:13,48,100,,,
107,1,2006-04-04,4/4/2006 11:02:17,34,300,,,
130,2,2006-04-04,4/4/2006 11:40:38,74,20,,,
44,1,2006-03-22,3/22/2006 16:04:07,17,40,,,
65,2,2006-03-22,3/22/2006 16:08:59,51,10,,,
75,2,2006-03-24,3/24/2006 10:55:46,48,100,,,"Fill Back Ordered product, Order #39"
79,2,2006-03-24,3/24/2006 10:58:40,41,200,,,"Fill Back Ordered product, Order #36"
104,3,2006-04-04,4/4/2006 11:01:37,43,300,,,"Fill Back Ordered product, Order #41"
114,2,2006-04-04,4/4/2006 11:08:49,72,50,,,"Fill Back Ordered product, Order #46"
115,1,2006-04-04,4/4/2006 11:03:38,41,50,,,
135,2,2006-04-04,4/4/2006 11:43:08,52,40,,,
35,1,2006-03-22,3/22/2006 16:02:28,80,75,,,
37,1,2006-03-22,3/22/2006 16:03:04,52,100,,,
54,1,2006-03-22,3/22/2006 16:05:07,3,100,,,
62,1,2006-03-22,3/22/2006 16:06:03,81,125,,,
64,2,2006-03-22,3/22/2006 16:08:59,7,10,,,
85,2,2006-03-24,4/4/2006 11:41:14,4,10,,,
96,3,2006-03-30,3/30/2006 16:46:34,34,12,,,
